allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2016,493.27,False,14,1.7,1.5,False,14,2.5,-4.51,42.08,29.116,4916.43,12.66,30,EMA,4.0,0.5,False,16.94,-6.0,108.55,2016-04-01,2015-04-01,391.64,5.443,0.356,D,True,42.1,8,6.0,160,SMA,coarse,19,5.0,2.0,14,False,True,36.84,2016-04-01,2015-04-01
True,True,2017,923.75,False,14,1.7,1.5,False,14,2.5,-4.65,70.36,75.058,8840.19,26.6,30,SMA,4.0,0.5,False,12.31,-9.0,125.93,2017-04-01,2016-04-01,784.02,10.809,0.566,D,True,25.0,3,9.0,130,SMA,coarse,12,5.0,2.0,14,False,True,41.67,2017-04-01,2016-04-01
True,True,2018,7978.15,False,14,1.7,1.5,False,14,2.5,-8.88,250.6,211.929,79634.75,83.79,44,SMA,3.0,2.0,False,37.65,-12.0,625.01,2018-04-01,2017-04-01,7863.47,15.677,0.448,D,True,35.7,5,12.0,130,EMA,coarse,14,5.0,2.0,14,False,True,35.71,2018-04-01,2017-04-01
True,True,2019,135.66,False,14,1.7,1.5,False,14,2.5,-7.61,27.24,11.305,2207.12,11.75,60,EMA,4.0,2.0,False,12.0,-12.0,78.65,2019-04-01,2018-04-01,120.71,4.476,0.421,D,True,11.1,1,12.0,130,SMA,coarse,9,5.0,2.0,14,False,True,55.56,2019-04-01,2018-04-01
True,True,2020,999.59,False,14,1.7,1.5,False,14,2.5,-3.55,89.79,44.519,10989.09,22.38,30,SMA,4.0,2.0,False,22.45,-4.0,231.8,2020-04-01,2019-04-01,998.91,9.737,0.376,D,True,61.1,11,4.0,160,SMA,coarse,18,5.0,2.0,14,False,True,27.78,2020-04-01,2019-04-01
True,True,2021,6182.81,False,14,1.7,1.5,False,14,2.5,-5.01,104.54,235.768,58892.41,33.09,30,SMA,4.0,0.5,False,26.22,-8.0,277.06,2021-04-01,2020-04-01,5789.24,11.119,0.412,D,True,30.4,7,8.0,100,EMA,coarse,23,5.0,2.0,14,False,True,34.78,2021-04-01,2020-04-01
True,True,2022,186.72,False,14,1.7,1.5,False,14,2.5,-5.31,56.5,6.427,2743.19,8.74,30,EMA,4.0,1.25,False,29.05,-6.0,178.97,2022-04-01,2021-04-01,174.32,3.13,0.218,D,True,63.6,14,6.0,100,SMA,coarse,22,5.0,2.0,14,False,True,22.73,2022-04-01,2021-04-01
True,True,2023,1077.63,False,14,1.7,1.5,False,14,2.5,-3.33,55.62,89.37,11473.91,19.6,30,EMA,4.0,2.0,False,12.06,-4.0,150.8,2023-04-01,2022-04-01,1047.39,10.637,0.467,D,True,50.0,9,4.0,100,SMA,coarse,18,5.0,2.0,14,False,True,38.89,2023-04-01,2022-04-01
True,True,2024,1184.09,False,14,1.7,1.5,False,14,2.5,-3.59,167.13,56.234,11017.34,35.8,60,EMA,4.0,0.5,False,21.06,-6.0,266.74,2024-04-01,2023-04-01,1001.73,13.949,0.414,D,True,38.5,5,6.0,160,SMA,coarse,13,5.0,2.0,14,False,True,23.08,2024-04-01,2023-04-01
True,True,2025,89.15,False,14,1.7,1.5,False,14,2.5,-2.87,57.08,2.597,1883.54,6.01,30,EMA,4.0,0.5,False,34.32,-4.0,209.21,2025-04-01,2024-04-01,88.35,3.454,0.147,D,True,51.9,14,4.0,130,SMA,coarse,27,5.0,2.0,14,False,True,14.81,2025-04-01,2024-04-01
True,True,2026,261.13,False,14,1.7,1.5,False,14,2.5,-3.34,27.14,13.626,3466.5,8.52,60,EMA,4.0,2.0,False,19.16,-4.0,61.56,2026-04-01,2025-04-01,246.65,5.176,0.448,D,True,44.4,8,4.0,130,EMA,coarse,18,5.0,2.0,14,False,True,38.89,2026-04-01,2025-04-01
