best_pl_long_short,delta_pl,same_params_long_only_pl,window_end,window_start
616.22,503.99,112.23,2016-04-01,2015-04-01
1312.61,911.58,401.03,2017-04-01,2016-04-01
13586.48,11425.91,2160.57,2018-04-01,2017-04-01
227.29,227.29,0.0,2019-04-01,2018-04-01
1666.96,1602.02,64.94,2020-04-01,2019-04-01
13011.23,6542.75,6468.48,2021-04-01,2020-04-01
206.33,232.94,-26.61,2022-04-01,2021-04-01
1507.71,1424.23,83.48,2023-04-01,2022-04-01
1401.98,1127.64,274.34,2024-04-01,2023-04-01
202.48,-31.6,234.08,2025-04-01,2024-04-01
347.24,251.78,95.46,2026-04-01,2025-04-01
