slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,14,1.5,D,2021-04-14,2026-04-03,81,5322.6,1087.9,54225.97,58.34,18.647,False,29.63,3.028,10.53,0.229,53.06,-7.38,223.85,-27.09,10,12.3,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,1.25,False,9.0,True,14,1.5,D,2021-04-14,2026-04-03,81,4478.48,915.37,45784.79,55.3,16.554,False,29.63,3.215,9.85,0.221,48.27,-6.32,223.85,-27.09,10,12.3,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,False,14,2.5,D,2021-04-14,2026-04-03,81,4801.88,981.47,49018.84,61.12,16.058,False,30.86,2.988,10.49,0.228,51.09,-7.63,223.85,-34.73,0,0.0,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,28,3.5,D,2021-04-14,2026-04-03,81,4801.88,981.47,49018.84,61.12,16.058,False,30.86,2.988,10.49,0.228,51.09,-7.63,223.85,-34.73,0,0.0,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,1.0,False,9.0,True,14,1.5,D,2021-04-14,2026-04-03,81,4100.46,838.1,42004.59,54.87,15.274,False,29.63,3.292,9.63,0.218,46.68,-5.97,223.85,-27.09,10,12.3,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,14,1.5,D,2021-04-14,2026-04-03,81,3688.89,753.98,37888.9,50.38,14.967,False,29.63,2.902,8.35,0.234,42.98,-6.24,167.89,-20.31,10,12.3,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,False,14,2.5,D,2021-04-14,2026-04-03,81,3487.73,712.87,35877.34,51.32,13.89,False,30.86,2.872,8.32,0.232,41.38,-6.43,167.89,-26.05,0,0.0,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,28,3.5,D,2021-04-14,2026-04-03,81,3487.73,712.87,35877.34,51.32,13.89,False,30.86,2.872,8.32,0.232,41.38,-6.43,167.89,-26.05,0,0.0,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,1.25,False,9.0,True,14,1.5,D,2021-04-14,2026-04-03,81,3099.09,633.43,31990.86,46.0,13.77,False,29.63,3.104,7.67,0.226,38.2,-5.18,167.89,-20.31,10,12.3,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,1.25,False,9.0,False,14,2.5,D,2021-04-14,2026-04-03,81,4013.34,820.3,41133.38,59.98,13.676,False,30.86,3.16,9.81,0.22,46.5,-6.57,223.85,-34.73,0,0.0,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,1.25,False,9.0,True,28,3.5,D,2021-04-14,2026-04-03,81,4013.34,820.3,41133.38,59.98,13.676,False,30.86,3.16,9.81,0.22,46.5,-6.57,223.85,-34.73,0,0.0,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,7,2.0,D,2021-04-14,2026-04-03,81,4061.44,830.13,41614.44,61.12,13.582,False,29.63,2.891,10.28,0.223,53.06,-7.73,223.85,-34.73,3,3.7,BTC-USD,2021_default,atr_quick
