slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
100,SMA,44,SMA,True,True,4.0,1.0,True,6.0,2021-04-14,2026-04-03,101,7852.96,1679.33,79529.62,53.95,31.128,False,20.79,3.818,9.01,0.207,58.71,-4.04,223.85,-6.0,39,38.6,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,4.0,1.25,True,6.0,2021-04-14,2026-04-03,101,8029.62,1717.11,81296.19,57.14,30.05,False,20.79,3.645,9.12,0.208,60.42,-4.35,223.85,-6.0,45,44.6,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,4.0,2.0,True,6.0,2021-04-14,2026-04-03,101,7709.03,1648.55,78090.32,57.88,28.484,False,19.8,3.386,9.32,0.209,66.78,-4.87,223.85,-6.0,53,52.5,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,4.0,2.0,True,4.0,2021-04-14,2026-04-03,88,5894.67,1260.55,59946.68,48.44,26.024,False,19.32,3.772,8.8,0.223,61.98,-3.93,208.81,-4.0,67,76.1,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,4.0,1.0,True,6.0,2021-04-14,2026-04-03,75,3919.34,905.46,40193.39,42.55,21.278,False,22.67,4.071,9.58,0.219,56.04,-4.03,223.85,-6.0,29,38.7,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,4.0,1.0,True,9.0,2021-04-14,2026-04-03,75,4048.01,935.19,41480.09,45.09,20.74,False,26.67,3.815,9.73,0.221,49.46,-4.71,223.85,-9.0,16,21.3,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,4.0,1.25,True,4.0,2021-04-14,2026-04-03,88,4733.43,1012.23,48334.35,49.03,20.643,False,20.45,3.883,8.3,0.215,54.62,-3.62,208.81,-4.0,56,63.6,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,4.0,2.0,True,6.0,2021-04-14,2026-04-03,88,6035.18,1290.6,61351.83,63.97,20.176,False,20.45,3.294,9.75,0.223,68.47,-5.35,208.81,-6.0,53,60.2,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,9.0,2021-04-14,2026-04-03,75,3750.92,866.56,38509.24,46.57,18.606,False,25.33,3.533,9.75,0.22,53.66,-5.15,223.85,-9.0,20,26.7,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,4.0,1.25,True,6.0,2021-04-14,2026-04-03,88,5425.21,1160.16,55252.07,62.91,18.443,False,21.59,3.442,9.37,0.218,61.15,-4.89,208.81,-6.0,47,53.4,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,4.0,1.25,True,4.0,2021-04-14,2026-04-03,101,4502.09,962.76,46020.94,54.12,17.79,False,17.82,3.747,7.6,0.194,58.17,-3.37,223.85,-4.0,60,59.4,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,6.0,2021-04-14,2026-04-03,75,3307.59,764.13,34075.9,43.22,17.679,False,21.33,3.747,9.45,0.214,60.42,-4.37,223.85,-6.0,34,45.3,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,4.0,1.0,True,6.0,2021-04-14,2026-04-03,63,3647.06,842.56,37470.58,48.28,17.451,False,25.4,4.004,10.75,0.244,56.4,-4.8,208.81,-6.0,29,46.0,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,4.0,1.0,True,6.0,2021-04-14,2026-04-03,88,4954.49,1059.5,50544.87,60.96,17.379,False,21.59,3.524,9.18,0.215,59.38,-4.64,208.81,-6.0,41,46.6,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,4.0,1.0,True,4.0,2021-04-14,2026-04-03,88,3996.34,854.6,40963.43,49.23,17.359,False,20.45,3.908,8.03,0.209,52.75,-3.47,208.81,-4.0,54,61.4,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,4.0,2.0,True,4.0,2021-04-14,2026-04-03,63,2971.38,686.46,30713.82,39.69,17.294,False,20.63,4.212,9.58,0.242,60.9,-3.76,208.81,-4.0,44,69.8,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,4.0,1.0,True,9.0,2021-04-14,2026-04-03,101,5227.37,1117.85,53273.66,65.29,17.121,False,22.77,3.272,8.72,0.198,55.16,-4.97,223.85,-9.0,25,24.8,BTC-USD,2021_default,quick
