slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,44,SMA,True,True,2.0,2.0,True,4.0,2022-01-01,2022-12-31,5,31.66,202.85,1316.57,4.0,50.713,False,60.0,7.726,6.19,0.499,11.86,-2.3,27.39,-4.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,2.0,True,4.0,2022-01-01,2022-12-31,5,31.66,202.85,1316.57,4.0,50.713,False,60.0,7.726,6.19,0.499,11.86,-2.3,27.39,-4.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,4.0,2022-01-01,2022-12-31,5,31.66,202.85,1316.57,4.0,50.713,False,60.0,7.726,6.19,0.499,11.86,-2.3,27.39,-4.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,2.0,False,2.0,2022-01-01,2022-12-31,5,30.08,192.76,1300.81,5.15,37.438,False,60.0,6.183,5.96,0.471,11.86,-2.88,27.39,-5.15,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,2.0,True,9.0,2022-01-01,2022-12-31,5,30.08,192.76,1300.81,5.15,37.438,False,60.0,6.183,5.96,0.471,11.86,-2.88,27.39,-5.15,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,2.0,True,12.0,2022-01-01,2022-12-31,5,30.08,192.76,1300.81,5.15,37.438,False,60.0,6.183,5.96,0.471,11.86,-2.88,27.39,-5.15,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,2.0,True,6.0,2022-01-01,2022-12-31,5,28.91,185.28,1289.14,6.0,30.88,False,60.0,5.386,5.79,0.451,11.86,-3.3,27.39,-6.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,2.0,True,6.0,2022-01-01,2022-12-31,5,28.91,185.28,1289.14,6.0,30.88,False,60.0,5.386,5.79,0.451,11.86,-3.3,27.39,-6.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,6.0,2022-01-01,2022-12-31,5,28.91,185.28,1289.14,6.0,30.88,False,60.0,5.386,5.79,0.451,11.86,-3.3,27.39,-6.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,1.25,True,4.0,2022-01-01,2022-12-31,5,17.79,114.02,1177.94,4.0,28.506,False,60.0,5.079,3.57,0.441,7.41,-2.19,17.12,-4.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,1.25,True,4.0,2022-01-01,2022-12-31,5,17.79,114.02,1177.94,4.0,28.506,False,60.0,5.079,3.57,0.441,7.41,-2.19,17.12,-4.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,4.0,2022-01-01,2022-12-31,5,17.79,114.02,1177.94,4.0,28.506,False,60.0,5.079,3.57,0.441,7.41,-2.19,17.12,-4.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,2.0,False,2.0,2022-01-01,2022-12-31,5,26.55,170.13,1265.51,7.72,22.029,False,60.0,4.272,5.45,0.411,11.86,-4.16,27.39,-7.72,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,2.0,True,12.0,2022-01-01,2022-12-31,5,26.55,170.13,1265.51,7.72,22.029,False,60.0,4.272,5.45,0.411,11.86,-4.16,27.39,-7.72,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,1.0,True,4.0,2022-01-01,2022-12-31,5,13.3,85.26,1133.05,4.0,21.314,False,60.0,4.134,2.7,0.405,5.93,-2.15,13.69,-4.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,1.0,True,4.0,2022-01-01,2022-12-31,5,13.3,85.26,1133.05,4.0,21.314,False,60.0,4.134,2.7,0.405,5.93,-2.15,13.69,-4.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,4.0,1.0,True,4.0,2022-01-01,2022-12-31,5,13.3,85.26,1133.05,4.0,21.314,False,60.0,4.134,2.7,0.405,5.93,-2.15,13.69,-4.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,1.25,False,2.0,2022-01-01,2022-12-31,5,16.38,104.99,1163.85,5.15,20.391,False,60.0,4.023,3.34,0.399,7.41,-2.76,17.12,-5.15,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,1.25,True,9.0,2022-01-01,2022-12-31,5,16.38,104.99,1163.85,5.15,20.391,False,60.0,4.023,3.34,0.399,7.41,-2.76,17.12,-5.15,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,1.25,True,12.0,2022-01-01,2022-12-31,5,16.38,104.99,1163.85,5.15,20.391,False,60.0,4.023,3.34,0.399,7.41,-2.76,17.12,-5.15,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,2.0,True,9.0,2022-01-01,2022-12-31,5,24.8,158.91,1248.0,9.0,17.657,False,60.0,3.704,5.19,0.382,11.86,-4.8,27.39,-9.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,9.0,2022-01-01,2022-12-31,5,24.8,158.91,1248.0,9.0,17.657,False,60.0,3.704,5.19,0.382,11.86,-4.8,27.39,-9.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,1.25,True,6.0,2022-01-01,2022-12-31,5,15.34,98.3,1153.4,6.0,16.383,False,60.0,3.486,3.17,0.369,7.41,-3.19,17.12,-6.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,1.25,True,6.0,2022-01-01,2022-12-31,5,15.34,98.3,1153.4,6.0,16.383,False,60.0,3.486,3.17,0.369,7.41,-3.19,17.12,-6.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,6.0,2022-01-01,2022-12-31,5,15.34,98.3,1153.4,6.0,16.383,False,60.0,3.486,3.17,0.369,7.41,-3.19,17.12,-6.0,1,20.0,BTC-USD,bear_2022,quick
100,SMA,60,SMA,True,True,2.0,2.0,True,4.0,2022-01-01,2022-12-31,8,111.29,153.98,2112.95,9.78,15.752,False,37.5,6.184,12.96,0.408,41.23,-4.0,82.33,-4.0,5,62.5,BTC-USD,bear_2022,quick
100,SMA,60,SMA,True,True,3.0,2.0,True,4.0,2022-01-01,2022-12-31,8,111.29,153.98,2112.95,9.78,15.752,False,37.5,6.184,12.96,0.408,41.23,-4.0,82.33,-4.0,5,62.5,BTC-USD,bear_2022,quick
100,SMA,60,SMA,True,True,4.0,2.0,True,4.0,2022-01-01,2022-12-31,8,111.29,153.98,2112.95,9.78,15.752,False,37.5,6.184,12.96,0.408,41.23,-4.0,82.33,-4.0,5,62.5,BTC-USD,bear_2022,quick
100,SMA,30,SMA,True,True,2.0,2.0,True,4.0,2022-01-01,2022-12-31,16,159.74,221.0,2597.35,14.03,15.751,False,37.5,4.86,7.44,0.403,24.98,-3.08,50.56,-4.0,7,43.8,BTC-USD,bear_2022,quick
100,SMA,30,SMA,True,True,3.0,2.0,True,4.0,2022-01-01,2022-12-31,16,159.74,221.0,2597.35,14.03,15.751,False,37.5,4.86,7.44,0.403,24.98,-3.08,50.56,-4.0,7,43.8,BTC-USD,bear_2022,quick
100,SMA,30,SMA,True,True,4.0,2.0,True,4.0,2022-01-01,2022-12-31,16,159.74,221.0,2597.35,14.03,15.751,False,37.5,4.86,7.44,0.403,24.98,-3.08,50.56,-4.0,7,43.8,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,1.0,False,2.0,2022-01-01,2022-12-31,5,11.95,76.57,1119.49,5.15,14.871,False,60.0,3.263,2.47,0.354,5.93,-2.73,13.69,-5.15,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,1.0,True,9.0,2022-01-01,2022-12-31,5,11.95,76.57,1119.49,5.15,14.871,False,60.0,3.263,2.47,0.354,5.93,-2.73,13.69,-5.15,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,1.0,True,12.0,2022-01-01,2022-12-31,5,11.95,76.57,1119.49,5.15,14.871,False,60.0,3.263,2.47,0.354,5.93,-2.73,13.69,-5.15,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,4.0,2.0,False,2.0,2022-01-01,2022-12-31,5,23.02,147.51,1230.2,10.3,14.325,False,60.0,3.263,4.93,0.354,11.86,-5.45,27.39,-10.3,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,2.0,1.0,True,6.0,2022-01-01,2022-12-31,5,10.94,70.13,1109.44,6.0,11.688,False,60.0,2.822,2.3,0.319,5.93,-3.15,13.69,-6.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,1.0,True,6.0,2022-01-01,2022-12-31,5,10.94,70.13,1109.44,6.0,11.688,False,60.0,2.822,2.3,0.319,5.93,-3.15,13.69,-6.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,4.0,1.0,True,6.0,2022-01-01,2022-12-31,5,10.94,70.13,1109.44,6.0,11.688,False,60.0,2.822,2.3,0.319,5.93,-3.15,13.69,-6.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,12.0,2022-01-01,2022-12-31,5,20.69,132.55,1206.85,12.0,11.046,False,60.0,2.822,4.59,0.319,11.86,-6.3,27.39,-12.0,1,20.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,1.25,False,2.0,2022-01-01,2022-12-31,5,13.23,84.75,1132.26,7.72,10.973,False,60.0,2.745,2.83,0.312,7.41,-4.05,17.12,-7.72,0,0.0,BTC-USD,bear_2022,quick
130,SMA,44,SMA,True,True,3.0,1.25,True,12.0,2022-01-01,2022-12-31,5,13.23,84.75,1132.26,7.72,10.973,False,60.0,2.745,2.83,0.312,7.41,-4.05,17.12,-7.72,0,0.0,BTC-USD,bear_2022,quick
100,SMA,30,SMA,True,True,2.0,2.0,True,6.0,2022-01-01,2022-12-31,16,131.04,181.29,2310.37,19.29,9.397,False,37.5,3.573,6.75,0.356,24.98,-4.2,50.56,-6.0,6,37.5,BTC-USD,bear_2022,quick
100,SMA,30,SMA,True,True,3.0,2.0,True,6.0,2022-01-01,2022-12-31,16,131.04,181.29,2310.37,19.29,9.397,False,37.5,3.573,6.75,0.356,24.98,-4.2,50.56,-6.0,6,37.5,BTC-USD,bear_2022,quick
