slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,44,SMA,True,True,4.0,1.25,True,9.0,2020-10-01,2021-11-30,6,120.88,234.85,2208.82,10.31,22.781,False,50.0,6.939,19.24,0.451,44.96,-6.48,100.13,-9.0,2,33.3,BTC-USD,bull_2020_2021,quick
130,SMA,44,SMA,True,True,4.0,1.0,True,9.0,2020-10-01,2021-11-30,6,110.45,214.59,2104.51,10.05,21.358,False,50.0,6.695,18.18,0.43,42.74,-6.38,100.13,-9.0,2,33.3,BTC-USD,bull_2020_2021,quick
130,SMA,44,SMA,True,True,3.0,1.25,True,9.0,2020-10-01,2021-11-30,6,92.58,179.86,1925.76,10.31,17.446,False,50.0,5.633,15.01,0.45,36.5,-6.48,75.09,-9.0,2,33.3,BTC-USD,bull_2020_2021,quick
130,SMA,44,SMA,True,True,3.0,1.0,True,9.0,2020-10-01,2021-11-30,6,83.48,162.19,1834.82,10.05,16.143,False,50.0,5.369,13.95,0.426,34.28,-6.38,75.09,-9.0,2,33.3,BTC-USD,bull_2020_2021,quick
130,SMA,44,SMA,True,True,3.0,1.25,True,12.0,2020-10-01,2021-11-30,6,109.17,212.09,2091.66,13.27,15.988,False,66.67,8.312,16.38,0.503,27.93,-6.72,75.09,-12.0,1,16.7,BTC-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,True,3.0,1.25,True,12.0,2020-10-01,2021-11-30,8,107.43,208.72,2074.3,13.27,15.733,False,50.0,5.333,12.03,0.434,29.62,-5.55,75.09,-12.0,1,12.5,BTC-USD,bull_2020_2021,quick
130,SMA,44,SMA,True,True,2.0,1.25,True,9.0,2020-10-01,2021-11-30,6,83.39,162.01,1833.91,10.31,15.716,False,66.67,8.198,12.52,0.533,21.39,-5.22,50.06,-9.0,1,16.7,BTC-USD,bull_2020_2021,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,12.0,2020-10-01,2021-11-30,6,106.56,207.02,2065.58,13.27,15.606,False,50.0,5.302,18.24,0.42,44.96,-8.48,100.13,-12.0,2,33.3,BTC-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,True,2.0,1.25,True,9.0,2020-10-01,2021-11-30,8,81.22,157.79,1812.18,10.31,15.306,False,50.0,5.426,9.01,0.473,22.09,-4.07,50.06,-9.0,1,12.5,BTC-USD,bull_2020_2021,quick
130,SMA,44,SMA,True,True,3.0,1.0,True,12.0,2020-10-01,2021-11-30,6,99.29,192.9,1992.89,13.01,14.824,False,66.67,7.987,15.31,0.48,26.26,-6.58,75.09,-12.0,1,16.7,BTC-USD,bull_2020_2021,quick
