slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,44,SMA,True,True,4.0,2.0,False,2.0,2014-09-17,2026-04-03,152,982299998.11,90969846.43,9823000981.05,74.06,1228282.704,False,36.18,5.935,28.79,0.252,95.68,-9.14,833.35,-42.36,0,0.0,BTC-USD,full,quick
130,SMA,44,SMA,True,True,4.0,1.25,False,2.0,2014-09-17,2026-04-03,152,824909197.39,76394037.61,8249092973.86,65.85,1160169.003,False,36.18,6.547,28.19,0.248,91.94,-7.96,833.35,-34.73,0,0.0,BTC-USD,full,quick
130,SMA,44,SMA,True,True,4.0,1.0,False,2.0,2014-09-17,2026-04-03,152,729576581.1,67565376.84,7295766811.04,63.91,1057126.509,False,36.18,6.793,27.98,0.246,90.69,-7.57,833.35,-34.73,0,0.0,BTC-USD,full,quick
160,SMA,44,SMA,True,True,4.0,1.0,False,2.0,2014-09-17,2026-04-03,160,210212995.83,19467620.87,2102130958.28,73.77,263881.343,False,31.25,5.823,25.29,0.235,97.69,-7.63,833.35,-39.15,0,0.0,BTC-USD,full,quick
160,SMA,44,SMA,True,True,4.0,1.25,False,2.0,2014-09-17,2026-04-03,160,202039280.95,18710661.1,2020393809.54,73.87,253287.317,False,31.25,5.576,25.37,0.235,98.91,-8.06,833.35,-39.15,0,0.0,BTC-USD,full,quick
130,SMA,44,SMA,True,True,3.0,2.0,False,2.0,2014-09-17,2026-04-03,152,179892377.18,16659657.9,1798924771.77,68.4,243552.745,False,36.18,5.509,21.99,0.256,74.26,-7.64,625.01,-42.36,0,0.0,BTC-USD,full,quick
130,SMA,44,SMA,True,True,3.0,1.25,False,2.0,2014-09-17,2026-04-03,152,151068781.33,13990332.75,1510688813.32,58.39,239582.383,False,36.18,6.186,21.39,0.25,70.51,-6.46,625.01,-26.47,0,0.0,BTC-USD,full,quick
130,SMA,44,SMA,True,True,3.0,1.0,False,2.0,2014-09-17,2026-04-03,152,133610144.68,12373505.41,1336102446.77,54.96,225151.789,False,36.18,6.47,21.19,0.248,69.26,-6.07,625.01,-26.05,0,0.0,BTC-USD,full,quick
160,SMA,44,SMA,True,True,4.0,2.0,False,2.0,2014-09-17,2026-04-03,160,150613782.95,13948195.8,1506138829.5,79.24,176013.881,False,31.25,4.971,25.61,0.237,102.57,-9.38,833.35,-39.15,0,0.0,BTC-USD,full,quick
100,SMA,44,SMA,True,True,4.0,1.0,False,2.0,2014-09-17,2026-04-03,214,101810764.58,9197719.95,1018108645.75,72.1,127575.753,False,28.5,5.079,21.17,0.195,92.49,-7.26,1024.29,-46.0,0,0.0,BTC-USD,full,quick
100,SMA,44,SMA,True,True,4.0,1.25,False,2.0,2014-09-17,2026-04-03,214,87856079.01,7937035.09,878561790.09,73.13,108534.412,False,28.5,4.844,21.2,0.195,93.73,-7.71,1024.29,-46.0,0,0.0,BTC-USD,full,quick
160,SMA,44,SMA,True,True,3.0,1.0,False,2.0,2014-09-17,2026-04-03,160,44517603.03,4122731.87,445177030.31,62.17,66318.01,False,31.25,5.499,19.04,0.236,74.49,-6.16,625.01,-29.36,0,0.0,BTC-USD,full,quick
160,SMA,44,SMA,True,True,3.0,1.25,False,2.0,2014-09-17,2026-04-03,160,42786621.38,3962427.35,427867213.81,62.96,62935.898,False,31.25,5.217,19.12,0.236,75.71,-6.6,625.01,-29.36,0,0.0,BTC-USD,full,quick
100,SMA,44,SMA,True,True,4.0,2.0,False,2.0,2014-09-17,2026-04-03,214,45157096.57,4079552.19,451571965.73,79.28,51459.492,False,28.5,4.278,21.28,0.195,97.45,-9.08,1024.29,-46.0,0,0.0,BTC-USD,full,quick
100,SMA,44,SMA,True,True,3.0,1.0,False,2.0,2014-09-17,2026-04-03,214,33731098.09,3047312.29,337311980.91,62.6,48678.735,False,28.5,4.771,15.91,0.195,70.6,-5.9,768.22,-34.5,0,0.0,BTC-USD,full,quick
160,SMA,44,SMA,True,True,3.0,2.0,False,2.0,2014-09-17,2026-04-03,160,31896029.43,2953860.23,318961294.35,72.26,40880.315,False,31.25,4.56,19.36,0.237,79.37,-7.91,625.01,-29.42,0,0.0,BTC-USD,full,quick
100,SMA,44,SMA,True,True,3.0,1.25,False,2.0,2014-09-17,2026-04-03,214,29107738.25,2629631.81,291078382.45,65.59,40089.114,False,28.5,4.507,15.94,0.195,71.84,-6.36,768.22,-34.5,0,0.0,BTC-USD,full,quick
130,SMA,30,SMA,True,True,4.0,2.0,True,12.0,2014-09-17,2026-04-03,205,18952652.37,1755186.68,189527523.71,69.74,25165.991,False,27.8,3.607,15.32,0.212,76.22,-8.14,619.12,-12.0,74,36.1,BTC-USD,full,quick
130,SMA,44,SMA,True,True,2.0,1.25,False,2.0,2014-09-17,2026-04-03,152,12104620.27,1120997.1,121047202.72,49.94,22446.581,False,36.18,5.607,14.59,0.255,49.09,-4.96,416.67,-26.47,0,0.0,BTC-USD,full,quick
130,SMA,30,SMA,True,True,4.0,1.25,True,9.0,2014-09-17,2026-04-03,205,15240182.66,1411378.48,152402826.61,63.36,22274.563,False,27.32,3.973,13.82,0.206,67.62,-6.4,619.12,-9.0,80,39.0,BTC-USD,full,quick
130,SMA,44,SMA,True,True,2.0,1.0,False,2.0,2014-09-17,2026-04-03,152,10705709.32,991445.32,107058093.18,45.8,21645.567,False,36.18,5.935,14.39,0.252,47.84,-4.57,416.67,-21.18,0,0.0,BTC-USD,full,quick
130,SMA,44,SMA,True,True,2.0,2.0,False,2.0,2014-09-17,2026-04-03,152,14414173.12,1334882.54,144142731.19,61.98,21536.531,False,36.18,4.876,15.2,0.261,52.84,-6.14,416.67,-42.36,0,0.0,BTC-USD,full,quick
130,SMA,30,SMA,True,True,4.0,1.25,True,12.0,2014-09-17,2026-04-03,205,15227464.34,1410200.65,152275643.36,66.11,21329.738,False,28.29,3.8,14.93,0.208,71.63,-7.44,619.12,-12.0,64,31.2,BTC-USD,full,quick
130,SMA,30,SMA,True,True,4.0,2.0,True,9.0,2014-09-17,2026-04-03,205,15374687.55,1423834.84,153747875.46,67.06,21232.775,False,25.85,3.741,14.06,0.208,74.21,-6.92,619.12,-9.0,94,45.9,BTC-USD,full,quick
130,SMA,30,SMA,True,True,4.0,1.0,True,9.0,2014-09-17,2026-04-03,205,12698051.12,1175954.15,126981511.21,62.35,18861.791,False,27.32,4.067,13.66,0.204,66.29,-6.13,619.12,-9.0,75,36.6,BTC-USD,full,quick
130,SMA,60,SMA,True,True,4.0,1.25,False,2.0,2014-09-17,2026-04-03,128,14819791.35,1372446.45,148198913.52,73.83,18590.402,False,33.59,6.093,34.11,0.203,121.47,-10.08,1548.8,-42.72,0,0.0,BTC-USD,full,quick
100,SMA,44,SMA,True,True,3.0,2.0,False,2.0,2014-09-17,2026-04-03,214,14961037.49,1351600.04,149611374.89,73.47,18397.566,False,28.5,3.902,16.02,0.195,75.56,-7.72,768.22,-34.5,0,0.0,BTC-USD,full,quick
130,SMA,30,SMA,True,True,4.0,1.0,True,12.0,2014-09-17,2026-04-03,205,12795802.57,1185006.82,127959025.68,65.17,18182.28,False,28.29,3.877,14.77,0.206,70.35,-7.16,619.12,-12.0,62,30.2,BTC-USD,full,quick
130,SMA,60,SMA,True,True,4.0,1.0,False,2.0,2014-09-17,2026-04-03,128,13970026.97,1293750.6,139701269.73,72.76,17782.019,False,33.59,6.309,33.93,0.202,120.02,-9.62,1548.8,-42.72,0,0.0,BTC-USD,full,quick
130,SMA,44,SMA,True,True,3.0,1.25,True,12.0,2014-09-17,2026-04-03,152,10154724.62,940419.16,101548246.21,53.64,17532.19,False,30.92,5.453,18.72,0.222,74.14,-6.09,625.01,-12.0,30,19.7,BTC-USD,full,quick
130,SMA,60,SMA,True,True,4.0,2.0,False,2.0,2014-09-17,2026-04-03,128,14689272.55,1360359.23,146893725.51,79.2,17176.084,False,33.59,5.549,34.64,0.205,125.79,-11.47,1548.8,-42.72,0,0.0,BTC-USD,full,quick
130,SMA,60,SMA,True,True,3.0,1.25,True,12.0,2014-09-17,2026-04-03,128,10177847.66,942560.56,101779476.62,65.38,14416.017,False,31.25,6.243,25.94,0.206,98.86,-7.2,1161.6,-12.0,32,25.0,BTC-USD,full,quick
130,SMA,44,SMA,True,True,3.0,1.0,True,12.0,2014-09-17,2026-04-03,152,8108354.87,750906.85,81084548.72,53.5,14034.53,False,30.92,5.609,18.47,0.219,72.68,-5.8,625.01,-12.0,30,19.7,BTC-USD,full,quick
130,SMA,44,SMA,True,True,3.0,2.0,True,12.0,2014-09-17,2026-04-03,152,8928073.04,826820.15,89281730.37,59.56,13882.114,False,29.61,4.854,18.99,0.224,80.79,-7.0,625.01,-12.0,39,25.7,BTC-USD,full,quick
