slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
100,SMA,60,SMA,True,False,4.0,1.0,True,4.0,2024-04-03,2026-04-03,11,172.64,142.66,2726.35,15.07,9.469,False,18.18,6.564,18.21,0.285,118.15,-4.0,208.81,-4.0,9,81.8,BTC-USD,last_2y,quick
100,SMA,60,SMA,True,False,4.0,1.25,True,4.0,2024-04-03,2026-04-03,11,172.64,142.66,2726.35,15.07,9.469,False,18.18,6.564,18.21,0.285,118.15,-4.0,208.81,-4.0,9,81.8,BTC-USD,last_2y,quick
100,SMA,60,SMA,True,False,4.0,2.0,True,4.0,2024-04-03,2026-04-03,11,172.64,142.66,2726.35,15.07,9.469,False,18.18,6.564,18.21,0.285,118.15,-4.0,208.81,-4.0,9,81.8,BTC-USD,last_2y,quick
130,SMA,60,SMA,True,False,4.0,1.0,True,4.0,2024-04-03,2026-04-03,10,184.0,155.93,2839.95,18.46,8.445,False,20.0,7.384,20.43,0.305,118.15,-4.0,208.81,-4.0,8,80.0,BTC-USD,last_2y,quick
130,SMA,60,SMA,True,False,4.0,1.25,True,4.0,2024-04-03,2026-04-03,10,184.0,155.93,2839.95,18.46,8.445,False,20.0,7.384,20.43,0.305,118.15,-4.0,208.81,-4.0,8,80.0,BTC-USD,last_2y,quick
130,SMA,60,SMA,True,False,4.0,2.0,True,4.0,2024-04-03,2026-04-03,10,184.0,155.93,2839.95,18.46,8.445,False,20.0,7.384,20.43,0.305,118.15,-4.0,208.81,-4.0,8,80.0,BTC-USD,last_2y,quick
130,SMA,60,SMA,True,True,4.0,1.25,True,4.0,2024-04-03,2026-04-03,26,281.27,174.72,3812.67,21.72,8.042,False,26.92,4.613,9.23,0.221,43.76,-3.5,208.81,-4.0,15,57.7,BTC-USD,last_2y,quick
130,SMA,60,SMA,True,True,4.0,1.0,True,4.0,2024-04-03,2026-04-03,26,256.25,159.18,3562.49,20.99,7.584,False,26.92,4.645,8.9,0.214,42.13,-3.34,208.81,-4.0,13,50.0,BTC-USD,last_2y,quick
130,SMA,60,SMA,True,True,4.0,2.0,True,4.0,2024-04-03,2026-04-03,26,261.86,162.66,3618.59,21.72,7.487,False,23.08,4.272,9.14,0.217,51.7,-3.63,208.81,-4.0,17,65.4,BTC-USD,last_2y,quick
100,SMA,60,SMA,True,False,3.0,1.0,True,4.0,2024-04-03,2026-04-03,11,114.34,94.48,2143.39,15.07,6.272,False,18.18,4.923,12.84,0.266,88.61,-4.0,156.61,-4.0,9,81.8,BTC-USD,last_2y,quick
100,SMA,60,SMA,True,False,3.0,1.25,True,4.0,2024-04-03,2026-04-03,11,114.34,94.48,2143.39,15.07,6.272,False,18.18,4.923,12.84,0.266,88.61,-4.0,156.61,-4.0,9,81.8,BTC-USD,last_2y,quick
100,SMA,60,SMA,True,False,3.0,2.0,True,4.0,2024-04-03,2026-04-03,11,114.34,94.48,2143.39,15.07,6.272,False,18.18,4.923,12.84,0.266,88.61,-4.0,156.61,-4.0,9,81.8,BTC-USD,last_2y,quick
130,SMA,60,SMA,True,True,2.0,1.25,True,4.0,2024-04-03,2026-04-03,26,173.24,107.61,2732.41,18.46,5.829,False,30.77,3.418,5.46,0.249,25.08,-3.26,104.41,-4.0,11,42.3,BTC-USD,last_2y,quick
130,SMA,60,SMA,True,False,3.0,1.0,True,4.0,2024-04-03,2026-04-03,10,123.27,104.46,2232.69,18.46,5.658,False,20.0,5.538,14.52,0.287,88.61,-4.0,156.61,-4.0,8,80.0,BTC-USD,last_2y,quick
130,SMA,60,SMA,True,False,3.0,1.25,True,4.0,2024-04-03,2026-04-03,10,123.27,104.46,2232.69,18.46,5.658,False,20.0,5.538,14.52,0.287,88.61,-4.0,156.61,-4.0,8,80.0,BTC-USD,last_2y,quick
130,SMA,60,SMA,True,False,3.0,2.0,True,4.0,2024-04-03,2026-04-03,10,123.27,104.46,2232.69,18.46,5.658,False,20.0,5.538,14.52,0.287,88.61,-4.0,156.61,-4.0,8,80.0,BTC-USD,last_2y,quick
