slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,44,SMA,True,True,4.0,1.0,True,9.0,2023-01-01,2025-12-31,51,1283.94,498.89,13839.43,45.09,11.064,False,23.53,4.075,11.32,0.22,63.74,-4.81,223.85,-9.0,13,25.5,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.0,True,6.0,2023-01-01,2025-12-31,51,1129.39,438.84,12293.92,42.55,10.313,False,17.65,4.275,10.94,0.214,80.93,-4.06,223.85,-6.0,21,41.2,BTC-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,False,4.0,1.0,True,4.0,2023-01-01,2025-12-31,22,510.53,213.11,6105.34,21.72,9.81,False,18.18,6.102,16.7,0.278,109.84,-4.0,208.81,-4.0,18,81.8,BTC-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,False,4.0,1.25,True,4.0,2023-01-01,2025-12-31,22,510.53,213.11,6105.34,21.72,9.81,False,18.18,6.102,16.7,0.278,109.84,-4.0,208.81,-4.0,18,81.8,BTC-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,False,4.0,2.0,True,4.0,2023-01-01,2025-12-31,22,510.53,213.11,6105.34,21.72,9.81,False,18.18,6.102,16.7,0.278,109.84,-4.0,208.81,-4.0,18,81.8,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,False,4.0,1.0,True,6.0,2023-01-01,2025-12-31,20,614.72,256.89,7147.19,27.77,9.25,False,25.0,6.063,20.39,0.3,97.66,-5.37,223.85,-6.0,13,65.0,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,False,4.0,1.25,True,6.0,2023-01-01,2025-12-31,20,614.72,256.89,7147.19,27.77,9.25,False,25.0,6.063,20.39,0.3,97.66,-5.37,223.85,-6.0,13,65.0,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,False,4.0,2.0,True,6.0,2023-01-01,2025-12-31,20,614.72,256.89,7147.19,27.77,9.25,False,25.0,6.063,20.39,0.3,97.66,-5.37,223.85,-6.0,13,65.0,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,6.0,2023-01-01,2025-12-31,51,1018.04,395.57,11180.39,43.22,9.152,False,17.65,3.979,10.79,0.21,81.66,-4.4,223.85,-6.0,24,47.1,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,3.0,1.0,True,6.0,2023-01-01,2025-12-31,51,824.58,320.4,9245.83,35.59,9.003,False,21.57,3.781,8.36,0.216,52.69,-3.83,167.89,-6.0,17,33.3,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,9.0,2023-01-01,2025-12-31,51,1072.4,416.7,11724.03,46.57,8.947,False,21.57,3.707,11.03,0.214,70.05,-5.2,223.85,-9.0,14,27.5,BTC-USD,recovery_2023_2025,quick
100,SMA,60,SMA,True,False,4.0,1.0,True,4.0,2023-01-01,2025-12-31,21,572.46,243.69,6724.57,27.86,8.747,False,23.81,6.889,17.95,0.293,88.17,-4.0,208.81,-4.0,16,76.2,BTC-USD,recovery_2023_2025,quick
100,SMA,60,SMA,True,False,4.0,1.25,True,4.0,2023-01-01,2025-12-31,21,572.46,243.69,6724.57,27.86,8.747,False,23.81,6.889,17.95,0.293,88.17,-4.0,208.81,-4.0,16,76.2,BTC-USD,recovery_2023_2025,quick
100,SMA,60,SMA,True,False,4.0,2.0,True,4.0,2023-01-01,2025-12-31,21,572.46,243.69,6724.57,27.86,8.747,False,23.81,6.889,17.95,0.293,88.17,-4.0,208.81,-4.0,16,76.2,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.0,True,12.0,2023-01-01,2025-12-31,51,1030.52,400.42,11305.22,46.28,8.653,False,23.53,3.727,10.97,0.213,63.74,-5.26,223.85,-12.0,10,19.6,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,4.0,1.0,True,6.0,2023-01-01,2025-12-31,18,559.61,235.48,6596.06,27.57,8.541,False,27.78,6.398,21.98,0.309,93.81,-5.64,223.85,-6.0,12,66.7,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,4.0,1.25,True,6.0,2023-01-01,2025-12-31,18,559.61,235.48,6596.06,27.57,8.541,False,27.78,6.398,21.98,0.309,93.81,-5.64,223.85,-6.0,12,66.7,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,4.0,2.0,True,6.0,2023-01-01,2025-12-31,18,559.61,235.48,6596.06,27.57,8.541,False,27.78,6.398,21.98,0.309,93.81,-5.64,223.85,-6.0,12,66.7,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,6.0,2023-01-01,2025-12-31,51,979.87,380.74,10798.74,45.09,8.443,False,17.65,3.727,10.83,0.21,83.84,-4.82,223.85,-6.0,29,56.9,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,12.0,2023-01-01,2025-12-31,51,964.34,374.71,10643.38,47.73,7.851,False,23.53,3.565,10.89,0.21,64.31,-5.55,223.85,-12.0,10,19.6,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,3.0,1.25,True,6.0,2023-01-01,2025-12-31,51,740.84,287.86,8408.38,38.64,7.45,False,21.57,3.498,8.21,0.211,53.28,-4.19,167.89,-6.0,20,39.2,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,4.0,1.0,True,4.0,2023-01-01,2025-12-31,18,543.8,231.49,6437.97,31.65,7.313,False,16.67,7.825,21.73,0.306,149.47,-3.82,223.85,-4.0,14,77.8,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,4.0,1.25,True,4.0,2023-01-01,2025-12-31,18,543.8,231.49,6437.97,31.65,7.313,False,16.67,7.825,21.73,0.306,149.47,-3.82,223.85,-4.0,14,77.8,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,4.0,2.0,True,4.0,2023-01-01,2025-12-31,18,543.8,231.49,6437.97,31.65,7.313,False,16.67,7.825,21.73,0.306,149.47,-3.82,223.85,-4.0,14,77.8,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,False,4.0,1.0,True,4.0,2023-01-01,2025-12-31,20,612.43,255.94,7124.32,35.2,7.272,False,15.0,7.478,20.26,0.299,155.9,-3.68,223.85,-4.0,15,75.0,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,False,4.0,1.25,True,4.0,2023-01-01,2025-12-31,20,612.43,255.94,7124.32,35.2,7.272,False,15.0,7.478,20.26,0.299,155.9,-3.68,223.85,-4.0,15,75.0,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,False,4.0,2.0,True,4.0,2023-01-01,2025-12-31,20,612.43,255.94,7124.32,35.2,7.272,False,15.0,7.478,20.26,0.299,155.9,-3.68,223.85,-4.0,15,75.0,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,3.0,1.0,True,9.0,2023-01-01,2025-12-31,51,714.8,277.75,8147.99,38.55,7.204,False,23.53,3.515,8.14,0.21,48.37,-4.23,167.89,-9.0,10,19.6,BTC-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,3.0,2.0,True,6.0,2023-01-01,2025-12-31,51,712.14,276.71,8121.35,39.54,6.998,False,21.57,3.268,8.24,0.21,55.07,-4.63,167.89,-6.0,25,49.0,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,3.0,1.0,True,6.0,2023-01-01,2025-12-31,18,362.88,152.7,4628.77,22.22,6.871,False,33.33,5.498,16.02,0.299,58.73,-5.34,167.89,-6.0,9,50.0,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,3.0,1.25,True,6.0,2023-01-01,2025-12-31,18,362.88,152.7,4628.77,22.22,6.871,False,33.33,5.498,16.02,0.299,58.73,-5.34,167.89,-6.0,9,50.0,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,3.0,2.0,True,6.0,2023-01-01,2025-12-31,18,362.88,152.7,4628.77,22.22,6.871,False,33.33,5.498,16.02,0.299,58.73,-5.34,167.89,-6.0,9,50.0,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,4.0,1.0,True,9.0,2023-01-01,2025-12-31,18,451.5,189.99,5515.04,28.65,6.631,False,33.33,5.204,21.09,0.295,78.31,-7.52,223.85,-9.0,8,44.4,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,4.0,1.25,True,9.0,2023-01-01,2025-12-31,18,451.5,189.99,5515.04,28.65,6.631,False,33.33,5.204,21.09,0.295,78.31,-7.52,223.85,-9.0,8,44.4,BTC-USD,recovery_2023_2025,quick
100,SMA,44,SMA,True,False,4.0,2.0,True,9.0,2023-01-01,2025-12-31,18,451.5,189.99,5515.04,28.65,6.631,False,33.33,5.204,21.09,0.295,78.31,-7.52,223.85,-9.0,8,44.4,BTC-USD,recovery_2023_2025,quick
