min_calmar,mean_calmar,n_positive,n_periods,slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,calmar_btc_p1_bull_2017,ann_btc_p1_bull_2017,maxdd_btc_p1_bull_2017,trades_btc_p1_bull_2017,calmar_btc_p2_bear_2018,ann_btc_p2_bear_2018,maxdd_btc_p2_bear_2018,trades_btc_p2_bear_2018,calmar_btc_p3_sideways_2019,ann_btc_p3_sideways_2019,maxdd_btc_p3_sideways_2019,trades_btc_p3_sideways_2019,calmar_btc_p4_bull_2020_2021,ann_btc_p4_bull_2020_2021,maxdd_btc_p4_bull_2020_2021,trades_btc_p4_bull_2020_2021,calmar_btc_p5_bear_2022,ann_btc_p5_bear_2022,maxdd_btc_p5_bear_2022,trades_btc_p5_bear_2022,calmar_btc_p6_bull_2023_2024,ann_btc_p6_bull_2023_2024,maxdd_btc_p6_bull_2023_2024,trades_btc_p6_bull_2023_2024,calmar_btc_p7_current_2025,ann_btc_p7_current_2025,maxdd_btc_p7_current_2025,trades_btc_p7_current_2025
1.604,6.793000000000001,7,7,130,SMA,44,SMA,True,True,True,2.0,1.0,True,6.0,False,14,2.5,D,16.289,297.7,18.28,8,2.173,53.0,24.39,17,11.107,256.06,23.05,9,4.381,184.36,42.08,22,1.604,32.93,20.54,14,10.355,310.47,29.98,35,1.642,31.19,19.0,22
1.366,7.254428571428572,7,7,130,SMA,44,SMA,True,True,True,4.0,2.0,True,12.0,False,14,2.5,D,16.585,563.33,33.97,8,2.048,90.19,44.03,17,10.029,418.82,41.76,9,3.866,261.28,67.59,22,1.366,51.58,37.75,14,15.293,794.66,51.96,35,1.594,55.94,35.1,22
1.177,25.369428571428568,7,7,130,SMA,44,SMA,True,True,True,2.0,1.25,True,9.0,False,14,2.5,D,133.986,2121.57,15.83,8,1.485,51.24,34.51,17,7.641,225.48,29.51,9,24.482,762.88,31.16,22,1.177,33.79,28.72,14,7.525,275.54,36.62,35,1.29,28.18,21.84,22
1.137,23.539285714285715,7,7,130,SMA,44,SMA,True,True,True,2.0,2.0,True,8.0,False,14,2.5,D,138.673,2067.52,14.91,8,4.641,139.69,30.1,17,10.508,285.41,27.16,9,3.339,161.24,48.3,22,1.137,38.77,34.09,14,5.122,211.56,41.3,35,1.355,38.9,28.72,22
1.104,24.53057142857143,7,7,130,SMA,44,SMA,True,True,True,2.0,1.25,True,8.0,False,14,2.5,D,143.957,2146.3,14.91,8,1.907,60.24,31.6,17,8.865,240.77,27.16,9,6.925,275.57,39.79,22,1.498,39.47,26.34,14,7.458,269.44,36.13,35,1.104,26.49,23.99,22
1.09,24.69928571428571,7,7,130,SMA,44,SMA,True,True,True,2.0,1.0,True,8.0,False,14,2.5,D,145.463,2168.76,14.91,8,1.159,35.82,30.9,17,8.335,226.38,27.16,9,6.486,256.97,39.62,22,1.09,26.52,24.33,14,8.935,306.96,34.36,35,1.427,31.97,22.41,22
1.083,22.358428571428572,7,7,100,SMA,44,SMA,True,True,True,2.0,2.0,True,12.0,False,14,2.5,D,104.735,3336.12,31.85,12,2.128,84.86,39.88,22,6.811,279.74,41.07,14,37.577,1013.48,26.97,37,1.234,49.08,39.78,17,2.941,182.04,61.89,40,1.083,42.88,39.6,30
1.062,30.805285714285713,7,7,130,SMA,44,SMA,True,True,True,3.0,2.0,True,12.0,False,14,2.5,D,190.282,4151.44,21.82,8,2.14,94.22,44.03,17,8.51,326.92,38.42,9,3.58,213.21,59.56,22,1.553,58.62,37.75,14,8.51,428.17,50.31,35,1.062,37.05,34.9,22
1.008,50.42999999999999,7,7,130,SMA,60,SMA,True,True,True,2.0,2.0,True,8.0,False,14,2.5,D,300.09,2874.96,9.58,7,1.623,63.91,39.36,15,35.822,347.1,9.69,11,10.489,435.66,41.53,13,1.008,39.7,39.36,11,2.455,139.45,56.8,33,1.523,49.81,32.71,17
0.997,7.737285714285714,7,7,130,SMA,44,SMA,True,True,True,3.0,1.25,True,9.0,False,14,2.5,D,16.765,443.07,26.43,8,1.395,48.12,34.51,17,10.05,330.75,32.91,9,7.902,373.65,47.28,22,0.997,28.64,28.72,14,15.546,625.15,40.21,35,1.506,38.96,25.87,22
0.964,19.692857142857143,7,7,130,SMA,44,SMA,True,True,True,2.0,2.0,True,12.0,False,14,2.5,D,106.558,1982.92,18.61,8,2.232,98.26,44.03,17,7.569,241.85,31.95,9,14.438,599.34,41.51,22,1.665,62.85,37.75,14,4.424,185.73,41.98,35,0.964,30.42,31.54,22
0.901,11.209,7,7,130,SMA,60,SMA,True,True,True,2.0,2.0,True,6.0,False,14,2.5,D,44.825,589.79,13.16,7,3.256,100.98,31.01,15,9.266,246.18,26.57,11,14.267,501.52,35.15,13,1.931,59.9,31.01,11,4.017,194.48,48.41,33,0.901,24.29,26.95,17
0.893,23.261285714285712,7,7,130,SMA,44,SMA,True,True,True,2.0,2.0,True,9.0,False,14,2.5,D,129.778,2054.94,15.83,8,3.587,121.32,33.82,17,9.089,268.21,29.51,9,13.448,509.73,37.9,22,0.893,33.59,37.6,14,4.488,193.01,43.01,35,1.546,41.59,26.9,22
0.829,25.43357142857143,7,7,130,SMA,44,SMA,True,True,True,2.0,1.0,True,9.0,False,14,2.5,D,135.388,2143.77,15.83,8,0.829,28.08,33.86,17,7.174,211.7,29.51,9,23.166,717.2,30.96,22,1.065,26.16,24.56,14,8.617,300.37,34.86,35,1.796,35.11,19.55,22
0.788,6.582428571428571,7,7,130,SMA,44,SMA,True,True,True,2.0,1.25,True,6.0,False,14,2.5,D,16.061,293.53,18.28,8,3.015,71.86,23.83,17,11.788,271.75,23.05,9,4.398,185.8,42.25,22,0.788,20.96,26.61,14,8.235,274.22,33.3,35,1.792,37.01,20.65,22
0.787,6.993285714285714,7,7,100,SMA,60,SMA,True,True,True,2.0,2.0,True,4.0,False,14,2.5,D,20.773,343.26,16.52,14,3.802,94.51,24.86,20,0.879,18.32,20.84,16,11.655,442.35,37.95,29,5.049,125.48,24.86,14,6.008,290.33,48.32,38,0.787,27.09,34.43,25
0.757,6.837714285714286,7,7,130,SMA,44,SMA,True,True,True,3.0,2.0,True,9.0,False,14,2.5,D,16.124,426.12,26.43,8,3.455,116.84,33.82,17,11.752,386.76,32.91,9,4.237,240.37,56.73,22,0.757,28.44,37.6,14,9.824,454.29,46.24,35,1.715,53.58,31.23,22
0.751,7.853857142857143,7,7,130,SMA,44,SMA,True,True,True,3.0,1.0,True,9.0,False,14,2.5,D,16.979,448.72,26.43,8,0.751,25.41,33.86,17,9.501,312.69,32.91,9,7.418,349.6,47.13,22,0.868,21.31,24.56,14,17.548,676.54,38.55,35,1.912,46.52,24.32,22
0.724,23.330999999999996,7,7,100,SMA,44,SMA,True,True,True,2.0,1.25,True,12.0,False,14,2.5,D,104.735,3336.12,31.85,12,0.801,28.31,35.36,22,7.113,260.93,36.68,14,44.284,991.56,22.39,37,0.724,21.71,29.97,17,4.911,267.99,54.57,40,0.749,25.0,33.37,30
