min_calmar,mean_calmar,n_positive,n_periods,slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,signal_tf,calmar_2021_default,ann_2021_default,maxdd_2021_default,trades_2021_default,calmar_bull_2020_2021,ann_bull_2020_2021,maxdd_bull_2020_2021,trades_bull_2020_2021,calmar_bear_2022,ann_bear_2022,maxdd_bear_2022,trades_bear_2022,calmar_recovery_2023_2025,ann_recovery_2023_2025,maxdd_recovery_2023_2025,trades_recovery_2023_2025,calmar_last_2y,ann_last_2y,maxdd_last_2y,trades_last_2y
2.122,9.9312,5,5,130,SMA,60,SMA,True,True,True,4.0,1.0,True,9.0,D,18.727,1113.83,59.48,68,13.307,133.7,10.05,5,3.086,45.27,14.67,6,12.414,738.36,59.48,50,2.122,86.79,40.91,32
1.874,17.167199999999998,5,5,130,SMA,44,SMA,True,True,True,4.0,1.0,True,9.0,D,39.117,1763.82,45.09,81,21.358,214.59,10.05,6,2.194,39.59,18.04,10,21.293,960.13,45.09,57,1.874,74.31,39.66,39
1.874,9.777,5,5,130,SMA,60,SMA,True,True,True,4.0,1.25,True,9.0,D,18.257,1109.54,60.77,68,14.405,148.5,10.31,5,3.912,63.24,16.17,6,10.437,634.29,60.77,50,1.874,80.21,42.8,32
1.687,6.1332,5,5,130,SMA,60,SMA,True,True,True,4.0,2.0,True,9.0,D,10.867,705.9,64.96,68,1.687,44.51,26.38,5,8.679,134.97,15.55,6,7.666,497.98,64.96,50,1.767,86.41,48.9,32
1.452,16.241999999999997,5,5,130,SMA,44,SMA,True,True,True,4.0,1.25,True,9.0,D,36.891,1718.12,46.57,81,22.781,234.85,10.31,6,2.732,55.44,20.29,10,17.354,808.22,46.57,57,1.452,63.8,43.95,39
1.353,7.984999999999999,5,5,130,SMA,44,SMA,True,True,True,4.0,2.0,True,9.0,D,18.043,937.54,51.96,81,3.641,96.05,26.38,6,5.339,118.27,22.15,10,11.549,600.1,51.96,57,1.353,63.87,47.21,39
1.281,5.688999999999999,5,5,130,SMA,60,SMA,True,True,True,3.0,1.0,True,9.0,D,8.158,459.06,56.27,68,10.066,101.13,10.05,5,3.086,45.27,14.67,6,5.854,329.4,56.27,50,1.281,50.11,39.12,32
1.12,10.1704,5,5,130,SMA,44,SMA,True,True,True,3.0,1.0,True,9.0,D,19.483,751.11,38.55,81,16.143,162.19,10.05,6,2.194,39.59,18.04,10,11.912,459.22,38.55,57,1.12,42.38,37.83,39
1.107,16.1638,5,5,100,SMA,60,SMA,True,True,True,4.0,1.25,True,4.0,D,15.209,745.77,49.03,94,50.21,1872.15,37.29,19,5.529,63.73,11.53,9,8.764,429.75,49.03,63,1.107,49.49,44.7,46
1.101,5.7812,5,5,130,SMA,60,SMA,True,True,True,3.0,1.25,True,9.0,D,7.929,457.24,57.67,68,11.101,114.44,10.31,5,3.912,63.24,16.17,6,4.863,280.46,57.67,50,1.101,45.23,41.06,32
1.084,6.2654,5,5,130,SMA,60,SMA,True,True,True,4.0,1.25,True,12.0,D,10.959,733.75,66.95,68,9.548,126.66,13.27,5,2.69,50.78,18.87,6,7.046,471.76,66.95,50,1.084,52.34,48.27,32
1.065,5.937800000000001,5,5,130,SMA,60,SMA,True,True,True,4.0,1.0,True,12.0,D,10.284,677.31,65.86,68,8.67,112.82,13.01,5,1.936,33.85,17.48,6,7.734,509.39,65.86,50,1.065,49.57,46.56,32
1.051,3.0738,5,5,130,SMA,60,SMA,True,True,True,2.0,1.0,True,6.0,D,3.992,177.22,44.4,68,1.051,18.81,17.9,5,5.518,59.41,10.77,6,3.519,156.21,44.4,50,1.289,39.82,30.89,32
1.017,4.3508000000000004,5,5,130,SMA,44,SMA,True,True,True,2.0,1.0,True,6.0,D,8.025,253.66,31.61,81,2.614,46.79,17.9,6,3.727,53.27,14.29,10,6.371,201.39,31.61,57,1.017,32.15,31.61,39
