slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
160,SMA,60,SMA,True,True,3.0,2.0,True,12.0,2021-04-14,2026-04-03,65,4325.07,1017.21,44250.67,44.2,23.013,False,33.85,3.221,9.56,0.279,40.95,-6.5,190.35,-12.0,11,16.9,ETH-USD,2021_default,quick
160,SMA,30,SMA,True,True,2.0,2.0,True,4.0,2021-04-14,2026-04-03,81,2591.49,608.32,26914.87,34.65,17.556,False,24.69,3.363,6.39,0.235,36.84,-3.59,157.2,-4.0,52,64.2,ETH-USD,2021_default,quick
130,SMA,60,SMA,True,True,3.0,2.0,True,12.0,2021-04-14,2026-04-03,75,3496.91,814.57,35969.14,47.7,17.077,False,32.0,2.784,8.38,0.249,40.88,-6.91,190.35,-12.0,15,20.0,ETH-USD,2021_default,quick
160,SMA,44,SMA,True,True,2.0,2.0,True,9.0,2021-04-14,2026-04-03,71,2085.35,489.51,21853.46,35.88,13.643,False,33.8,2.736,6.85,0.256,31.96,-5.97,126.91,-9.0,21,29.6,ETH-USD,2021_default,quick
160,SMA,44,SMA,True,True,3.0,2.0,True,12.0,2021-04-14,2026-04-03,71,2623.93,615.93,27239.34,45.73,13.469,False,33.8,2.664,8.38,0.244,39.7,-7.61,190.37,-12.0,18,25.4,ETH-USD,2021_default,quick
160,SMA,44,SMA,True,True,4.0,2.0,True,9.0,2021-04-14,2026-04-03,72,3266.96,766.87,33669.56,57.53,13.33,False,30.56,2.941,9.53,0.23,47.25,-7.07,253.83,-9.0,32,44.4,ETH-USD,2021_default,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,9.0,2021-04-14,2026-04-03,82,3165.78,736.03,32657.77,56.25,13.084,False,26.83,2.685,8.89,0.217,52.83,-7.22,253.83,-9.0,38,46.3,ETH-USD,2021_default,quick
160,SMA,60,SMA,True,True,3.0,1.25,True,12.0,2021-04-14,2026-04-03,65,2146.04,504.73,22460.37,40.2,12.555,False,33.85,3.078,7.89,0.247,34.53,-5.74,190.35,-12.0,9,13.8,ETH-USD,2021_default,quick
160,SMA,30,SMA,True,True,4.0,2.0,True,9.0,2021-04-14,2026-04-03,81,3243.56,761.38,33435.6,62.39,12.204,False,25.93,2.825,9.39,0.207,56.07,-6.95,314.4,-9.0,38,46.9,ETH-USD,2021_default,quick
160,SMA,30,SMA,True,True,3.0,2.0,True,6.0,2021-04-14,2026-04-03,81,2464.69,578.55,25646.86,47.52,12.176,False,24.69,2.91,7.51,0.21,46.31,-5.22,235.8,-6.0,47,58.0,ETH-USD,2021_default,quick
160,SMA,60,SMA,True,True,2.0,2.0,True,12.0,2021-04-14,2026-04-03,65,2131.9,501.4,22318.98,43.83,11.441,False,33.85,2.877,7.29,0.277,33.0,-5.87,126.9,-12.0,10,15.4,ETH-USD,2021_default,quick
130,SMA,60,SMA,True,True,4.0,1.0,True,6.0,2021-04-14,2026-04-03,75,1276.39,297.32,13763.85,26.04,11.417,False,28.0,2.828,5.73,0.217,31.64,-4.35,146.84,-6.0,30,40.0,ETH-USD,2021_default,quick
160,SMA,30,SMA,True,True,3.0,1.25,True,6.0,2021-04-14,2026-04-03,81,2134.4,501.02,22344.05,47.52,10.544,False,25.93,2.985,6.82,0.206,39.55,-4.64,235.8,-6.0,38,46.9,ETH-USD,2021_default,quick
160,SMA,60,SMA,True,True,3.0,1.0,True,12.0,2021-04-14,2026-04-03,65,1740.93,409.45,18409.28,38.83,10.543,False,33.85,3.091,7.42,0.237,32.39,-5.36,190.35,-12.0,8,12.3,ETH-USD,2021_default,quick
130,SMA,60,SMA,True,True,3.0,1.25,True,12.0,2021-04-14,2026-04-03,75,1863.71,434.13,19637.13,41.75,10.399,False,32.0,2.711,6.93,0.223,34.32,-5.96,190.35,-12.0,12,16.0,ETH-USD,2021_default,quick
