slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
100,SMA,30,SMA,True,True,2.0,2.0,True,4.0,2022-01-01,2022-12-31,21,31.29,48.43,1312.94,26.38,1.836,False,14.29,1.965,3.15,0.126,44.92,-3.81,109.97,-4.0,17,81.0,ETH-USD,bear_2022,quick
100,SMA,30,SMA,True,True,3.0,2.0,True,4.0,2022-01-01,2022-12-31,21,31.29,48.43,1312.94,26.38,1.836,False,14.29,1.965,3.15,0.126,44.92,-3.81,109.97,-4.0,17,81.0,ETH-USD,bear_2022,quick
100,SMA,30,SMA,True,True,4.0,2.0,True,4.0,2022-01-01,2022-12-31,21,31.29,48.43,1312.94,26.38,1.836,False,14.29,1.965,3.15,0.126,44.92,-3.81,109.97,-4.0,17,81.0,ETH-USD,bear_2022,quick
100,SMA,44,SMA,True,True,2.0,2.0,True,4.0,2022-01-01,2022-12-31,19,21.34,31.31,1213.44,36.18,0.865,False,21.05,1.872,2.75,0.114,28.08,-4.0,101.6,-4.0,15,78.9,ETH-USD,bear_2022,quick
100,SMA,44,SMA,True,True,3.0,2.0,True,4.0,2022-01-01,2022-12-31,19,21.34,31.31,1213.44,36.18,0.865,False,21.05,1.872,2.75,0.114,28.08,-4.0,101.6,-4.0,15,78.9,ETH-USD,bear_2022,quick
100,SMA,44,SMA,True,True,4.0,2.0,True,4.0,2022-01-01,2022-12-31,19,21.34,31.31,1213.44,36.18,0.865,False,21.05,1.872,2.75,0.114,28.08,-4.0,101.6,-4.0,15,78.9,ETH-USD,bear_2022,quick
100,SMA,60,SMA,True,True,2.0,2.0,True,4.0,2022-01-01,2022-12-31,18,18.43,27.03,1184.25,37.46,0.721,False,11.11,1.702,2.42,0.113,52.78,-3.88,85.15,-4.0,15,83.3,ETH-USD,bear_2022,quick
100,SMA,60,SMA,True,True,3.0,2.0,True,4.0,2022-01-01,2022-12-31,18,17.21,25.24,1172.08,38.1,0.662,False,11.11,1.675,2.36,0.11,52.78,-3.94,85.15,-4.0,15,83.3,ETH-USD,bear_2022,quick
100,SMA,60,SMA,True,True,4.0,2.0,True,4.0,2022-01-01,2022-12-31,18,16.03,23.51,1160.26,38.73,0.607,False,11.11,1.65,2.31,0.108,52.78,-4.0,85.15,-4.0,16,88.9,ETH-USD,bear_2022,quick
100,SMA,60,SMA,True,True,2.0,2.0,True,6.0,2022-01-01,2022-12-31,18,4.17,6.12,1041.72,40.16,0.152,False,22.22,1.42,1.77,0.081,26.84,-5.4,85.15,-6.0,12,66.7,ETH-USD,bear_2022,quick
100,SMA,44,SMA,True,True,2.0,1.25,True,4.0,2022-01-01,2022-12-31,19,2.6,3.81,1025.96,30.84,0.123,False,26.32,1.341,0.95,0.062,14.21,-3.78,63.5,-4.0,13,68.4,ETH-USD,bear_2022,quick
100,SMA,44,SMA,True,True,3.0,1.25,True,4.0,2022-01-01,2022-12-31,19,2.6,3.81,1025.96,30.84,0.123,False,26.32,1.341,0.95,0.062,14.21,-3.78,63.5,-4.0,13,68.4,ETH-USD,bear_2022,quick
100,SMA,44,SMA,True,True,4.0,1.25,True,4.0,2022-01-01,2022-12-31,19,2.6,3.81,1025.96,30.84,0.123,False,26.32,1.341,0.95,0.062,14.21,-3.78,63.5,-4.0,13,68.4,ETH-USD,bear_2022,quick
100,SMA,30,SMA,True,True,2.0,1.25,True,4.0,2022-01-01,2022-12-31,21,0.74,1.13,1007.38,29.71,0.038,False,14.29,1.295,0.91,0.057,28.08,-3.61,68.73,-4.0,15,71.4,ETH-USD,bear_2022,quick
