slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,30,SMA,True,False,4.0,1.0,False,2.0,2020-10-01,2021-11-30,6,265.35,787.97,3653.54,17.67,44.597,False,50.0,7.595,33.97,0.57,78.25,-10.3,120.72,-14.62,0,0.0,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,4.0,1.25,False,2.0,2020-10-01,2021-11-30,6,265.35,787.97,3653.54,17.67,44.597,False,50.0,7.595,33.97,0.57,78.25,-10.3,120.72,-14.62,0,0.0,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,4.0,2.0,False,2.0,2020-10-01,2021-11-30,6,265.35,787.97,3653.54,17.67,44.597,False,50.0,7.595,33.97,0.57,78.25,-10.3,120.72,-14.62,0,0.0,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,3.0,1.0,False,2.0,2020-10-01,2021-11-30,6,190.8,566.57,2907.97,13.35,42.442,False,50.0,7.595,25.48,0.57,58.69,-7.73,90.54,-10.96,0,0.0,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,3.0,1.25,False,2.0,2020-10-01,2021-11-30,6,190.8,566.57,2907.97,13.35,42.442,False,50.0,7.595,25.48,0.57,58.69,-7.73,90.54,-10.96,0,0.0,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,3.0,2.0,False,2.0,2020-10-01,2021-11-30,6,190.8,566.57,2907.97,13.35,42.442,False,50.0,7.595,25.48,0.57,58.69,-7.73,90.54,-10.96,0,0.0,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,2.0,1.0,False,2.0,2020-10-01,2021-11-30,6,120.22,356.99,2202.18,8.96,39.821,False,50.0,7.595,16.99,0.57,39.13,-5.15,60.36,-7.31,0,0.0,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,2.0,1.25,False,2.0,2020-10-01,2021-11-30,6,120.22,356.99,2202.18,8.96,39.821,False,50.0,7.595,16.99,0.57,39.13,-5.15,60.36,-7.31,0,0.0,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,2.0,2.0,False,2.0,2020-10-01,2021-11-30,6,120.22,356.99,2202.18,8.96,39.821,False,50.0,7.595,16.99,0.57,39.13,-5.15,60.36,-7.31,0,0.0,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,3.0,1.0,True,12.0,2020-10-01,2021-11-30,6,187.41,556.52,2874.11,14.36,38.76,False,50.0,7.27,25.31,0.564,58.69,-8.07,90.54,-12.0,1,16.7,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,3.0,1.25,True,12.0,2020-10-01,2021-11-30,6,187.41,556.52,2874.11,14.36,38.76,False,50.0,7.27,25.31,0.564,58.69,-8.07,90.54,-12.0,1,16.7,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,3.0,2.0,True,12.0,2020-10-01,2021-11-30,6,187.41,556.52,2874.11,14.36,38.76,False,50.0,7.27,25.31,0.564,58.69,-8.07,90.54,-12.0,1,16.7,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,2.0,1.0,True,9.0,2020-10-01,2021-11-30,6,116.2,345.06,2162.0,10.63,32.474,False,50.0,6.846,16.71,0.555,39.13,-5.71,60.36,-9.0,1,16.7,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,2.0,1.25,True,9.0,2020-10-01,2021-11-30,6,116.2,345.06,2162.0,10.63,32.474,False,50.0,6.846,16.71,0.555,39.13,-5.71,60.36,-9.0,1,16.7,ETH-USD,bull_2020_2021,quick
130,SMA,30,SMA,True,False,2.0,2.0,True,9.0,2020-10-01,2021-11-30,6,116.2,345.06,2162.0,10.63,32.474,False,50.0,6.846,16.71,0.555,39.13,-5.71,60.36,-9.0,1,16.7,ETH-USD,bull_2020_2021,quick
130,SMA,44,SMA,True,False,3.0,1.0,True,12.0,2020-10-01,2021-11-30,5,190.55,565.85,2905.53,18.13,31.212,False,60.0,9.034,30.47,0.622,57.11,-9.48,104.88,-12.0,1,20.0,ETH-USD,bull_2020_2021,quick
