slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
160,SMA,30,SMA,True,True,4.0,2.0,True,9.0,2017-11-09,2026-04-03,150,2348299.17,296582.39,23483991.67,62.39,4753.96,False,25.33,3.965,15.72,0.223,82.97,-7.1,626.94,-9.0,74,49.3,ETH-USD,full,quick
160,SMA,44,SMA,True,True,3.0,2.0,True,12.0,2017-11-09,2026-04-03,128,1357648.91,171466.55,13577489.11,56.02,3060.895,False,32.03,4.156,17.49,0.2,71.9,-8.15,893.4,-12.0,39,30.5,ETH-USD,full,quick
160,SMA,30,SMA,True,True,3.0,2.0,True,12.0,2017-11-09,2026-04-03,148,1481029.82,187049.15,14811298.21,61.37,3048.023,False,28.38,3.488,13.47,0.242,66.55,-7.56,470.2,-12.0,44,29.7,ETH-USD,full,quick
160,SMA,44,SMA,True,True,4.0,2.0,True,12.0,2017-11-09,2026-04-03,129,1311649.91,165657.03,13117499.15,66.23,2501.068,False,29.46,4.368,21.07,0.184,92.78,-8.87,1191.19,-12.0,50,38.8,ETH-USD,full,quick
160,SMA,44,SMA,True,True,3.0,2.0,True,9.0,2017-11-09,2026-04-03,129,1012167.03,127833.34,10122670.29,55.5,2303.204,False,29.46,4.38,16.87,0.194,74.21,-7.08,893.4,-9.0,56,43.4,ETH-USD,full,quick
160,SMA,30,SMA,True,True,4.0,1.25,True,9.0,2017-11-09,2026-04-03,149,888248.29,112182.81,8883482.85,64.67,1734.758,False,25.5,4.023,14.52,0.209,75.77,-6.45,626.94,-9.0,63,42.3,ETH-USD,full,quick
160,SMA,44,SMA,True,True,3.0,1.25,True,12.0,2017-11-09,2026-04-03,127,663841.98,83841.04,6639419.83,54.72,1532.308,False,32.28,4.389,16.32,0.188,65.48,-7.11,893.4,-12.0,31,24.4,ETH-USD,full,quick
160,SMA,30,SMA,True,True,4.0,2.0,True,12.0,2017-11-09,2026-04-03,149,806733.37,101887.75,8068333.67,75.45,1350.391,False,26.17,3.47,15.28,0.215,81.99,-8.38,626.94,-12.0,57,38.3,ETH-USD,full,quick
160,SMA,44,SMA,True,True,2.0,2.0,True,9.0,2017-11-09,2026-04-03,128,473901.45,59852.18,4740014.48,44.36,1349.133,False,32.03,3.994,12.88,0.215,53.65,-6.33,595.6,-9.0,42,32.8,ETH-USD,full,quick
130,SMA,44,SMA,True,True,3.0,2.0,True,9.0,2017-11-09,2026-04-03,141,623986.03,78807.36,6240860.29,59.24,1330.343,False,26.95,3.872,15.18,0.182,75.96,-7.24,893.4,-9.0,67,47.5,ETH-USD,full,quick
