slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,44,SMA,True,True,4.0,2.0,True,9.0,2024-04-03,2026-04-03,15,1292.93,920.55,13929.31,24.64,37.356,False,46.67,8.148,30.93,0.431,75.54,-8.11,253.83,-9.0,7,46.7,ETH-USD,last_2y,quick
130,SMA,60,SMA,True,False,4.0,1.0,False,2.0,2024-04-03,2026-04-03,6,474.0,513.73,5739.96,15.62,32.886,False,50.0,20.967,54.69,0.524,114.87,-5.48,253.8,-8.09,0,0.0,ETH-USD,last_2y,quick
130,SMA,60,SMA,True,False,4.0,1.25,False,2.0,2024-04-03,2026-04-03,6,474.0,513.73,5739.96,15.62,32.886,False,50.0,20.967,54.69,0.524,114.87,-5.48,253.8,-8.09,0,0.0,ETH-USD,last_2y,quick
130,SMA,60,SMA,True,False,4.0,2.0,False,2.0,2024-04-03,2026-04-03,6,474.0,513.73,5739.96,15.62,32.886,False,50.0,20.967,54.69,0.524,114.87,-5.48,253.8,-8.09,0,0.0,ETH-USD,last_2y,quick
130,SMA,60,SMA,True,False,3.0,1.0,False,2.0,2024-04-03,2026-04-03,6,332.28,360.13,4322.78,11.87,30.347,False,50.0,20.967,41.02,0.524,86.15,-4.11,190.35,-6.07,0,0.0,ETH-USD,last_2y,quick
130,SMA,60,SMA,True,False,3.0,1.0,True,12.0,2024-04-03,2026-04-03,6,332.28,360.13,4322.78,11.87,30.347,False,50.0,20.967,41.02,0.524,86.15,-4.11,190.35,-6.07,0,0.0,ETH-USD,last_2y,quick
130,SMA,60,SMA,True,False,3.0,1.25,False,2.0,2024-04-03,2026-04-03,6,332.28,360.13,4322.78,11.87,30.347,False,50.0,20.967,41.02,0.524,86.15,-4.11,190.35,-6.07,0,0.0,ETH-USD,last_2y,quick
130,SMA,60,SMA,True,False,3.0,1.25,True,12.0,2024-04-03,2026-04-03,6,332.28,360.13,4322.78,11.87,30.347,False,50.0,20.967,41.02,0.524,86.15,-4.11,190.35,-6.07,0,0.0,ETH-USD,last_2y,quick
130,SMA,60,SMA,True,False,3.0,2.0,False,2.0,2024-04-03,2026-04-03,6,332.28,360.13,4322.78,11.87,30.347,False,50.0,20.967,41.02,0.524,86.15,-4.11,190.35,-6.07,0,0.0,ETH-USD,last_2y,quick
130,SMA,60,SMA,True,False,3.0,2.0,True,12.0,2024-04-03,2026-04-03,6,332.28,360.13,4322.78,11.87,30.347,False,50.0,20.967,41.02,0.524,86.15,-4.11,190.35,-6.07,0,0.0,ETH-USD,last_2y,quick
