slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
160,SMA,30,SMA,True,True,3.0,2.0,True,6.0,2023-01-01,2025-12-31,47,2281.59,903.85,23815.86,29.2,30.952,False,27.66,4.223,11.52,0.275,54.57,-4.94,235.8,-6.0,24,51.1,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,2.0,2.0,True,4.0,2023-01-01,2025-12-31,47,1524.82,607.35,16248.18,20.38,29.795,False,27.66,4.531,8.77,0.297,40.71,-3.44,157.2,-4.0,27,57.4,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,4.0,2.0,True,9.0,2023-01-01,2025-12-31,47,2881.75,1130.57,29817.51,40.53,27.893,False,27.66,4.053,14.26,0.26,68.44,-6.46,314.4,-9.0,20,42.6,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,3.0,1.25,True,6.0,2023-01-01,2025-12-31,47,1853.88,727.32,19538.84,29.2,24.907,False,27.66,4.49,10.69,0.263,49.71,-4.23,235.8,-6.0,19,40.4,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,4.0,1.25,True,9.0,2023-01-01,2025-12-31,47,2355.9,924.26,24558.95,39.07,23.656,False,27.66,4.225,13.42,0.249,63.57,-5.75,314.4,-9.0,16,34.0,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,3.0,1.0,True,6.0,2023-01-01,2025-12-31,47,1693.89,664.55,17938.89,28.76,23.108,False,27.66,4.581,10.4,0.258,48.08,-4.01,235.8,-6.0,16,34.0,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,4.0,1.0,True,9.0,2023-01-01,2025-12-31,47,2195.14,861.2,22951.4,38.19,22.552,False,27.66,4.318,13.17,0.245,61.95,-5.49,314.4,-9.0,14,29.8,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,2.0,1.25,True,4.0,2023-01-01,2025-12-31,47,1010.14,400.16,11101.36,20.38,19.631,False,27.66,4.223,7.57,0.272,35.84,-3.24,157.2,-4.0,23,48.9,ETH-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,9.0,2023-01-01,2025-12-31,46,2359.84,921.85,24598.44,47.99,19.209,False,26.09,3.753,13.38,0.271,69.91,-6.57,253.83,-9.0,20,43.5,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,2.0,1.0,True,4.0,2023-01-01,2025-12-31,47,950.48,372.89,10504.76,20.38,18.293,False,27.66,4.459,7.34,0.269,34.22,-2.93,157.2,-4.0,20,42.6,ETH-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,9.0,2023-01-01,2025-12-31,46,1847.88,721.86,19478.8,40.87,17.664,False,26.09,3.861,12.4,0.258,64.12,-5.86,253.83,-9.0,16,34.8,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,4.0,2.0,True,12.0,2023-01-01,2025-12-31,47,1895.77,743.75,19957.68,43.43,17.124,False,27.66,3.49,13.51,0.245,68.44,-7.5,314.4,-12.0,15,31.9,ETH-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.0,True,9.0,2023-01-01,2025-12-31,46,1701.57,664.7,18015.67,39.05,17.023,False,26.09,3.935,12.1,0.253,62.2,-5.58,253.83,-9.0,16,34.8,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,3.0,2.0,True,12.0,2023-01-01,2025-12-31,41,1340.63,525.96,14406.33,32.29,16.289,False,34.15,3.377,11.24,0.285,46.76,-7.18,190.37,-12.0,10,24.4,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,3.0,2.0,True,9.0,2023-01-01,2025-12-31,47,1431.83,561.74,15318.34,35.0,16.05,False,27.66,3.409,10.67,0.252,54.57,-6.12,235.8,-9.0,19,40.4,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,4.0,1.25,True,12.0,2023-01-01,2025-12-31,47,1600.41,627.87,17004.08,40.86,15.367,False,27.66,3.622,12.73,0.235,63.57,-6.71,314.4,-12.0,12,25.5,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,4.0,1.0,True,12.0,2023-01-01,2025-12-31,47,1560.61,612.26,16606.1,40.0,15.307,False,27.66,3.744,12.56,0.233,61.95,-6.33,314.4,-12.0,12,25.5,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,3.0,1.25,True,12.0,2023-01-01,2025-12-31,41,1082.9,424.84,11829.03,27.8,15.283,False,34.15,3.469,10.3,0.271,42.37,-6.33,190.37,-12.0,7,17.1,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,2.0,2.0,True,6.0,2023-01-01,2025-12-31,47,940.84,372.71,10408.37,24.65,15.12,False,27.66,3.328,7.88,0.263,40.71,-4.68,157.2,-6.0,23,48.9,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,3.0,1.0,True,12.0,2023-01-01,2025-12-31,41,1025.49,402.32,11254.86,26.75,15.04,False,34.15,3.566,10.05,0.267,40.9,-5.95,190.37,-12.0,7,17.1,ETH-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,4.0,2.0,True,6.0,2023-01-01,2025-12-31,45,1086.16,424.3,11861.59,30.01,14.138,False,24.44,3.56,9.12,0.271,51.9,-4.72,146.84,-6.0,22,48.9,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,3.0,1.25,True,9.0,2023-01-01,2025-12-31,47,1161.68,455.75,12616.83,33.4,13.645,False,27.66,3.508,9.83,0.239,49.71,-5.42,235.8,-9.0,15,31.9,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,4.0,2.0,True,9.0,2023-01-01,2025-12-31,42,1839.12,721.53,19391.24,52.97,13.62,False,30.95,3.865,13.38,0.27,58.3,-6.76,253.83,-9.0,19,45.2,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,3.0,2.0,True,12.0,2023-01-01,2025-12-31,46,1153.12,452.39,12531.24,34.54,13.098,False,28.26,3.125,10.58,0.245,55.06,-6.94,235.8,-12.0,13,28.3,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,3.0,1.0,True,9.0,2023-01-01,2025-12-31,47,1079.1,423.35,11790.97,32.44,13.052,False,27.66,3.57,9.57,0.235,48.08,-5.15,235.8,-9.0,13,27.7,ETH-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,6.0,2023-01-01,2025-12-31,46,1093.39,427.12,11933.9,33.91,12.597,False,23.91,3.363,8.94,0.272,53.19,-4.97,132.44,-6.0,23,50.0,ETH-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,4.0,1.25,True,6.0,2023-01-01,2025-12-31,45,780.88,305.05,8808.83,25.01,12.195,False,24.44,3.518,7.98,0.252,45.61,-4.19,146.84,-6.0,18,40.0,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,2.0,1.25,True,6.0,2023-01-01,2025-12-31,47,753.92,295.78,8539.16,24.65,11.999,False,27.66,3.453,7.04,0.251,35.84,-3.97,157.2,-6.0,18,38.3,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,3.0,1.25,True,12.0,2023-01-01,2025-12-31,46,967.67,379.64,10676.7,31.85,11.918,False,28.26,3.226,9.79,0.234,50.2,-6.13,235.8,-12.0,10,21.7,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,3.0,1.0,True,12.0,2023-01-01,2025-12-31,46,942.68,369.83,10426.81,31.85,11.611,False,28.26,3.337,9.61,0.232,48.57,-5.73,235.8,-12.0,10,21.7,ETH-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,3.0,1.0,True,12.0,2023-01-01,2025-12-31,45,1112.89,434.74,12128.88,37.47,11.601,False,28.89,3.889,9.47,0.257,44.13,-4.61,190.35,-12.0,4,8.9,ETH-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,4.0,1.0,True,6.0,2023-01-01,2025-12-31,45,693.32,270.84,7933.24,23.5,11.528,False,24.44,3.528,7.62,0.244,43.51,-3.99,146.84,-6.0,17,37.8,ETH-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,3.0,2.0,True,12.0,2023-01-01,2025-12-31,45,1385.07,541.06,14850.65,47.7,11.343,False,28.89,3.499,10.57,0.27,51.22,-5.95,190.35,-12.0,7,15.6,ETH-USD,recovery_2023_2025,quick
160,SMA,60,SMA,True,True,4.0,2.0,True,4.0,2023-01-01,2025-12-31,42,897.62,352.16,9976.22,31.6,11.145,False,21.43,4.098,8.74,0.272,53.92,-3.59,146.84,-4.0,29,69.0,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,2.0,1.0,True,6.0,2023-01-01,2025-12-31,47,683.99,268.34,7839.93,24.18,11.099,False,27.66,3.49,6.75,0.245,34.22,-3.75,157.2,-6.0,15,31.9,ETH-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,3.0,1.25,True,12.0,2023-01-01,2025-12-31,45,1158.41,452.52,12584.06,41.75,10.84,False,28.89,3.715,9.69,0.26,45.9,-5.02,190.35,-12.0,5,11.1,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,4.0,1.25,True,9.0,2023-01-01,2025-12-31,42,1397.6,548.3,14975.96,51.82,10.581,False,30.95,3.9,12.33,0.255,53.57,-6.16,253.83,-9.0,15,35.7,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,2.0,2.0,True,9.0,2023-01-01,2025-12-31,41,823.57,323.1,9235.68,30.61,10.554,False,34.15,3.215,8.25,0.291,35.08,-5.66,126.91,-9.0,13,31.7,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,2.0,1.25,True,9.0,2023-01-01,2025-12-31,41,613.28,240.6,7132.77,23.53,10.227,False,34.15,3.176,7.18,0.274,30.69,-5.01,126.91,-9.0,9,22.0,ETH-USD,recovery_2023_2025,quick
160,SMA,60,SMA,True,True,3.0,2.0,True,12.0,2023-01-01,2025-12-31,41,1145.86,449.55,12458.64,44.2,10.17,False,29.27,3.437,10.85,0.273,52.26,-6.29,190.35,-12.0,8,19.5,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,2.0,1.0,True,9.0,2023-01-01,2025-12-31,41,550.77,216.08,6507.67,21.71,9.952,False,34.15,3.18,6.84,0.266,29.22,-4.76,126.91,-9.0,8,19.5,ETH-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,12.0,2023-01-01,2025-12-31,46,1432.67,559.66,15326.68,57.53,9.728,False,26.09,3.156,12.46,0.25,69.91,-7.82,253.83,-12.0,15,32.6,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,4.0,1.0,True,9.0,2023-01-01,2025-12-31,42,1266.35,496.81,13663.51,51.12,9.719,False,30.95,3.93,12.0,0.249,51.99,-5.93,253.83,-9.0,14,33.3,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,2.0,2.0,True,9.0,2023-01-01,2025-12-31,46,703.07,275.83,8030.67,28.62,9.638,False,28.26,2.882,7.57,0.246,41.04,-5.61,157.2,-9.0,16,34.8,ETH-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,12.0,2023-01-01,2025-12-31,46,1234.86,482.39,13348.59,50.47,9.558,False,26.09,3.302,11.66,0.241,64.12,-6.85,253.83,-12.0,12,26.1,ETH-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.0,True,12.0,2023-01-01,2025-12-31,46,1163.11,454.36,12631.09,47.91,9.483,False,26.09,3.372,11.41,0.237,62.2,-6.51,253.83,-12.0,12,26.1,ETH-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,6.0,2023-01-01,2025-12-31,46,787.32,307.56,8873.18,32.44,9.481,False,23.91,3.319,7.83,0.253,46.88,-4.44,132.44,-6.0,20,43.5,ETH-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,3.0,2.0,True,9.0,2023-01-01,2025-12-31,46,1226.03,478.94,13260.27,50.72,9.443,False,26.09,3.182,10.07,0.262,56.29,-6.24,190.37,-9.0,17,37.0,ETH-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,4.0,1.25,False,2.0,2023-01-01,2025-12-31,45,1088.72,425.3,11887.21,47.94,8.871,False,28.89,3.42,11.91,0.24,58.24,-6.92,253.8,-43.67,0,0.0,ETH-USD,recovery_2023_2025,quick
130,SMA,44,SMA,True,True,4.0,1.0,True,6.0,2023-01-01,2025-12-31,46,694.53,271.31,7945.34,30.6,8.866,False,23.91,3.31,7.47,0.245,44.77,-4.25,132.44,-6.0,19,41.3,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,4.0,2.0,True,4.0,2023-01-01,2025-12-31,48,815.92,324.99,9159.24,36.74,8.845,False,18.75,3.429,7.56,0.252,56.92,-3.83,121.11,-4.0,37,77.1,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,4.0,1.0,False,2.0,2023-01-01,2025-12-31,41,1010.5,396.44,11104.98,45.08,8.795,False,34.15,3.249,12.43,0.248,52.58,-8.39,253.83,-26.89,0,0.0,ETH-USD,recovery_2023_2025,quick
160,SMA,44,SMA,True,True,4.0,1.25,False,2.0,2023-01-01,2025-12-31,41,1018.69,399.65,11186.92,45.86,8.714,False,34.15,3.146,12.59,0.249,54.05,-8.91,253.83,-26.89,0,0.0,ETH-USD,recovery_2023_2025,quick
160,SMA,60,SMA,True,True,3.0,1.25,True,12.0,2023-01-01,2025-12-31,41,892.38,350.1,9923.84,40.2,8.709,False,29.27,3.478,9.84,0.257,47.18,-5.61,190.35,-12.0,6,14.6,ETH-USD,recovery_2023_2025,quick
160,SMA,60,SMA,True,True,3.0,1.0,True,12.0,2023-01-01,2025-12-31,41,861.1,337.83,9610.99,38.83,8.699,False,29.27,3.616,9.63,0.254,45.49,-5.21,190.35,-12.0,5,12.2,ETH-USD,recovery_2023_2025,quick
160,SMA,30,SMA,True,True,2.0,1.25,True,9.0,2023-01-01,2025-12-31,46,561.44,220.26,6614.4,25.49,8.643,False,28.26,2.917,6.72,0.234,36.17,-4.88,157.2,-9.0,12,26.1,ETH-USD,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,4.0,1.0,False,2.0,2023-01-01,2025-12-31,45,1041.79,406.97,11417.9,47.11,8.639,False,28.89,3.52,11.68,0.237,56.47,-6.52,253.8,-43.67,0,0.0,ETH-USD,recovery_2023_2025,quick
