slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
200,EMA,20,SMA,True,True,True,4.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,373.88,96.03,4738.81,1.14,83.909,False,80.0,214.559,48.88,0.634,61.39,-1.14,180.8,-1.14,0,0.0,VOO,2021_default,equity_quick
200,EMA,20,SMA,True,True,True,3.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,258.17,66.31,3581.68,1.14,57.94,False,80.0,162.045,36.86,0.639,46.36,-1.14,135.6,-1.14,0,0.0,VOO,2021_default,equity_quick
200,EMA,20,SMA,True,True,True,2.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,158.26,40.65,2582.63,1.14,35.518,False,80.0,109.53,24.84,0.649,31.34,-1.14,90.4,-1.14,0,0.0,VOO,2021_default,equity_quick
100,SMA,60,SMA,True,True,True,3.0,1.0,True,4.0,W,2021-04-14,2026-04-02,5,189.01,44.0,2890.12,4.0,11.0,False,60.0,18.843,28.55,0.687,50.25,-4.0,90.42,-4.0,2,40.0,VOO,2021_default,equity_quick
100,SMA,60,SMA,True,True,True,4.0,1.0,True,8.0,W,2021-04-14,2026-04-02,5,242.46,56.44,3424.59,8.0,7.055,False,60.0,12.386,36.44,0.642,66.06,-8.0,120.57,-8.0,2,40.0,VOO,2021_default,equity_quick
100,SMA,60,SMA,True,True,True,2.0,1.0,True,4.0,W,2021-04-14,2026-04-02,5,115.56,26.9,2155.6,4.0,6.725,False,60.0,12.912,19.06,0.683,34.43,-4.0,60.28,-4.0,2,40.0,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,True,True,2.0,1.0,True,4.0,W,2021-04-14,2026-04-02,5,136.42,34.36,2364.16,5.57,6.165,False,40.0,20.895,27.31,0.448,71.7,-2.29,135.98,-4.0,1,20.0,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,True,True,4.0,1.0,True,8.0,W,2021-04-14,2026-04-02,5,246.82,62.17,3468.21,11.02,5.644,False,40.0,20.355,53.13,0.434,139.69,-4.57,271.96,-8.0,1,20.0,VOO,2021_default,equity_quick
100,SMA,60,SMA,True,True,True,3.0,1.0,True,8.0,W,2021-04-14,2026-04-02,5,165.43,38.51,2654.3,8.0,4.814,False,60.0,9.421,26.95,0.625,50.25,-8.0,90.42,-8.0,2,40.0,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,True,True,3.0,1.0,True,8.0,W,2021-04-14,2026-04-02,5,187.62,47.26,2876.2,10.26,4.605,False,40.0,17.195,39.82,0.433,105.69,-4.1,203.97,-8.0,1,20.0,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,True,True,3.0,1.0,True,4.0,W,2021-04-14,2026-04-02,6,181.76,45.79,2817.64,10.11,4.53,False,33.33,14.62,32.82,0.391,105.69,-3.61,203.97,-4.0,3,50.0,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,4.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,215.35,50.13,3153.51,12.11,4.14,False,80.0,15.223,34.44,0.577,46.08,-12.11,135.48,-12.11,0,0.0,VOO,2021_default,equity_quick
100,SMA,60,SMA,True,True,True,4.0,1.0,True,12.0,W,2021-04-14,2026-04-02,5,213.33,49.66,3133.27,12.0,4.138,False,60.0,8.258,34.84,0.597,66.06,-12.0,120.57,-12.0,2,40.0,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,True,True,4.0,1.0,True,12.0,W,2021-04-14,2026-04-02,5,231.74,58.37,3317.42,14.89,3.922,False,40.0,15.762,52.33,0.426,139.69,-5.91,271.96,-12.0,1,20.0,VOO,2021_default,equity_quick
130,EMA,20,SMA,True,True,True,4.0,1.0,False,2.0,W,2021-04-14,2026-04-02,6,179.39,45.19,2793.91,12.11,3.732,False,66.67,8.663,25.25,0.508,42.82,-9.89,119.34,-12.11,0,0.0,VOO,2021_default,equity_quick
100,EMA,20,SMA,True,True,True,4.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,193.74,45.1,2937.42,12.11,3.725,False,80.0,13.891,31.22,0.59,42.05,-12.11,119.34,-12.11,0,0.0,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,2.0,1.0,True,4.0,W,2021-04-14,2026-04-02,7,86.58,20.15,1865.77,5.57,3.616,False,42.86,6.914,11.52,0.437,31.43,-3.41,67.74,-4.0,3,42.9,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,4.0,1.0,True,8.0,W,2021-04-14,2026-04-02,7,165.06,38.43,2650.62,11.02,3.488,False,42.86,6.687,22.16,0.419,60.8,-6.82,135.48,-8.0,3,42.9,VOO,2021_default,equity_quick
130,EMA,44,SMA,True,True,False,4.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,187.88,45.09,2878.78,13.88,3.247,False,60.0,8.398,31.88,0.57,60.33,-10.78,119.34,-13.88,0,0.0,VOO,2021_default,equity_quick
