slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
160,SMA,30,SMA,True,True,2.0,2.0,True,4.0,2022-01-01,2022-12-31,10,-0.29,-0.84,997.08,11.84,-0.071,False,20.0,1.058,0.1,0.018,8.7,-2.06,14.55,-4.0,2,20.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,3.0,2.0,True,4.0,2022-01-01,2022-12-31,10,-2.22,-6.37,977.85,13.54,-0.47,False,20.0,0.948,-0.1,-0.017,8.7,-2.29,14.55,-4.0,2,20.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,4.0,2.0,True,4.0,2022-01-01,2022-12-31,10,-4.11,-11.83,958.85,15.22,-0.777,False,20.0,0.858,-0.29,-0.051,8.7,-2.53,14.55,-4.0,2,20.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,2.0,2.0,True,6.0,2022-01-01,2022-12-31,10,-4.4,-12.66,955.97,13.68,-0.926,False,20.0,0.851,-0.3,-0.052,8.7,-2.56,14.55,-6.0,2,20.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,2.0,2.0,False,2.0,2022-01-01,2022-12-31,10,-4.39,-12.61,956.14,12.87,-0.98,False,20.0,0.852,-0.3,-0.052,8.7,-2.55,14.55,-6.85,0,0.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,2.0,2.0,True,9.0,2022-01-01,2022-12-31,10,-4.39,-12.61,956.14,12.87,-0.98,False,20.0,0.852,-0.3,-0.052,8.7,-2.55,14.55,-6.85,0,0.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,2.0,2.0,True,12.0,2022-01-01,2022-12-31,10,-4.39,-12.61,956.14,12.87,-0.98,False,20.0,0.852,-0.3,-0.052,8.7,-2.55,14.55,-6.85,0,0.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,3.0,2.0,True,6.0,2022-01-01,2022-12-31,10,-6.25,-17.97,937.53,15.34,-1.171,False,20.0,0.778,-0.5,-0.084,8.7,-2.79,14.55,-6.0,2,20.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,2.0,1.25,True,4.0,2022-01-01,2022-12-31,10,-4.36,-12.53,956.43,10.28,-1.22,False,20.0,0.739,-0.38,-0.103,5.44,-1.84,9.09,-4.0,2,20.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,4.0,2.0,True,6.0,2022-01-01,2022-12-31,10,-8.07,-23.2,919.31,16.99,-1.366,False,20.0,0.717,-0.69,-0.116,8.7,-3.03,14.55,-6.0,2,20.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,3.0,1.25,True,4.0,2022-01-01,2022-12-31,10,-6.2,-17.84,937.98,12.01,-1.486,False,20.0,0.654,-0.58,-0.151,5.44,-2.08,9.09,-4.0,2,20.0,VOO,bear_2022,quick
130,SMA,30,SMA,True,True,2.0,2.0,True,4.0,2022-01-01,2022-12-31,8,-8.61,-22.14,913.94,14.27,-1.552,False,25.0,0.528,-1.04,-0.242,4.66,-2.94,8.84,-4.0,2,25.0,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,4.0,1.25,True,4.0,2022-01-01,2022-12-31,10,-8.02,-23.08,919.75,13.72,-1.683,False,20.0,0.587,-0.77,-0.196,5.44,-2.32,9.09,-4.0,2,20.0,VOO,bear_2022,quick
130,SMA,30,SMA,True,True,2.0,2.0,True,6.0,2022-01-01,2022-12-31,8,-10.55,-27.13,894.53,16.09,-1.686,False,25.0,0.473,-1.3,-0.284,4.66,-3.28,8.84,-6.0,1,12.5,VOO,bear_2022,quick
160,SMA,30,SMA,True,True,2.0,1.0,True,4.0,2022-01-01,2022-12-31,10,-5.73,-16.48,942.68,9.75,-1.691,False,20.0,0.615,-0.54,-0.17,4.35,-1.77,7.27,-4.0,2,20.0,VOO,bear_2022,quick
130,SMA,30,SMA,True,True,3.0,2.0,True,4.0,2022-01-01,2022-12-31,8,-10.34,-26.59,896.62,14.59,-1.823,False,25.0,0.478,-1.27,-0.286,4.66,-3.25,8.84,-4.0,4,50.0,VOO,bear_2022,quick
130,SMA,30,SMA,True,True,4.0,2.0,True,4.0,2022-01-01,2022-12-31,8,-10.34,-26.59,896.62,14.59,-1.823,False,25.0,0.478,-1.27,-0.286,4.66,-3.25,8.84,-4.0,4,50.0,VOO,bear_2022,quick
130,SMA,30,SMA,True,True,2.0,2.0,False,2.0,2022-01-01,2022-12-31,8,-13.14,-33.79,868.62,18.52,-1.825,False,25.0,0.416,-1.64,-0.325,4.66,-3.73,8.84,-8.72,0,0.0,VOO,bear_2022,quick
130,SMA,30,SMA,True,True,2.0,2.0,True,12.0,2022-01-01,2022-12-31,8,-13.14,-33.79,868.62,18.52,-1.825,False,25.0,0.416,-1.64,-0.325,4.66,-3.73,8.84,-8.72,0,0.0,VOO,bear_2022,quick
130,SMA,30,SMA,True,True,2.0,2.0,True,9.0,2022-01-01,2022-12-31,8,-13.4,-34.47,865.98,18.77,-1.837,False,25.0,0.411,-1.67,-0.328,4.66,-3.78,8.84,-9.0,1,12.5,VOO,bear_2022,quick
