slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,60,SMA,True,False,4.0,1.0,True,4.0,2010-09-09,2026-04-02,109,1234.43,84.17,13344.29,39.94,2.107,False,32.11,2.471,3.18,0.227,16.62,-3.18,67.68,-4.0,46,42.2,VOO,full,quick
130,SMA,60,SMA,True,False,4.0,1.25,True,4.0,2010-09-09,2026-04-02,109,1234.43,84.17,13344.29,39.94,2.107,False,32.11,2.471,3.18,0.227,16.62,-3.18,67.68,-4.0,46,42.2,VOO,full,quick
130,SMA,60,SMA,True,False,4.0,2.0,True,4.0,2010-09-09,2026-04-02,109,1234.43,84.17,13344.29,39.94,2.107,False,32.11,2.471,3.18,0.227,16.62,-3.18,67.68,-4.0,46,42.2,VOO,full,quick
100,SMA,44,SMA,True,True,4.0,1.0,True,6.0,2010-09-09,2026-04-02,245,1481.75,99.91,15817.54,49.11,2.035,False,25.71,1.806,1.64,0.146,14.33,-2.75,67.35,-6.0,38,15.5,VOO,full,quick
100,SMA,30,SMA,True,True,4.0,1.0,True,4.0,2010-09-09,2026-04-02,274,1319.95,89.0,14199.5,51.22,1.738,False,24.82,1.718,1.36,0.14,13.16,-2.53,69.25,-4.0,87,31.8,VOO,full,quick
100,SMA,44,SMA,True,True,4.0,1.25,True,6.0,2010-09-09,2026-04-02,245,1283.47,86.54,13834.74,51.56,1.678,False,25.71,1.745,1.6,0.141,14.53,-2.88,67.35,-6.0,39,15.9,VOO,full,quick
160,SMA,60,SMA,True,False,4.0,1.0,True,4.0,2010-09-09,2026-04-02,109,1016.86,69.14,11168.57,43.59,1.586,False,30.28,2.378,3.0,0.215,17.12,-3.13,67.68,-4.0,46,42.2,VOO,full,quick
160,SMA,60,SMA,True,False,4.0,1.25,True,4.0,2010-09-09,2026-04-02,109,1016.86,69.14,11168.57,43.59,1.586,False,30.28,2.378,3.0,0.215,17.12,-3.13,67.68,-4.0,46,42.2,VOO,full,quick
160,SMA,60,SMA,True,False,4.0,2.0,True,4.0,2010-09-09,2026-04-02,109,1016.86,69.14,11168.57,43.59,1.586,False,30.28,2.378,3.0,0.215,17.12,-3.13,67.68,-4.0,46,42.2,VOO,full,quick
100,SMA,30,SMA,True,True,4.0,1.25,True,4.0,2010-09-09,2026-04-02,274,1183.61,79.81,12836.09,51.87,1.539,False,24.82,1.671,1.33,0.136,13.37,-2.64,69.25,-4.0,91,33.2,VOO,full,quick
100,SMA,44,SMA,True,True,4.0,1.0,True,4.0,2010-09-09,2026-04-02,246,1186.81,80.02,12868.09,52.63,1.52,False,23.58,1.801,1.48,0.142,14.16,-2.43,67.35,-4.0,71,28.9,VOO,full,quick
130,SMA,44,SMA,True,False,4.0,1.0,True,4.0,2010-09-09,2026-04-02,116,1059.2,72.23,11592.03,49.46,1.46,False,27.59,2.282,2.82,0.215,18.18,-3.04,73.69,-4.0,48,41.4,VOO,full,quick
130,SMA,44,SMA,True,False,4.0,1.25,True,4.0,2010-09-09,2026-04-02,116,1059.2,72.23,11592.03,49.46,1.46,False,27.59,2.282,2.82,0.215,18.18,-3.04,73.69,-4.0,48,41.4,VOO,full,quick
130,SMA,44,SMA,True,False,4.0,2.0,True,4.0,2010-09-09,2026-04-02,116,1059.2,72.23,11592.03,49.46,1.46,False,27.59,2.282,2.82,0.215,18.18,-3.04,73.69,-4.0,48,41.4,VOO,full,quick
