slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,60,SMA,True,True,4.0,1.0,False,2.0,2023-01-01,2025-12-31,19,289.58,127.9,3895.83,5.99,21.348,False,47.37,9.197,8.9,0.436,21.09,-2.06,67.68,-4.95,0,0.0,VOO,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,4.0,1.0,True,9.0,2023-01-01,2025-12-31,19,289.58,127.9,3895.83,5.99,21.348,False,47.37,9.197,8.9,0.436,21.09,-2.06,67.68,-4.95,0,0.0,VOO,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,4.0,1.0,True,12.0,2023-01-01,2025-12-31,19,289.58,127.9,3895.83,5.99,21.348,False,47.37,9.197,8.9,0.436,21.09,-2.06,67.68,-4.95,0,0.0,VOO,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,4.0,1.25,False,2.0,2023-01-01,2025-12-31,19,285.17,125.95,3851.69,6.79,18.555,False,47.37,8.505,8.85,0.432,21.17,-2.24,67.68,-4.95,0,0.0,VOO,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,4.0,1.25,True,9.0,2023-01-01,2025-12-31,19,285.17,125.95,3851.69,6.79,18.555,False,47.37,8.505,8.85,0.432,21.17,-2.24,67.68,-4.95,0,0.0,VOO,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,4.0,1.25,True,12.0,2023-01-01,2025-12-31,19,285.17,125.95,3851.69,6.79,18.555,False,47.37,8.505,8.85,0.432,21.17,-2.24,67.68,-4.95,0,0.0,VOO,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,3.0,1.0,False,2.0,2023-01-01,2025-12-31,19,188.14,83.09,2881.43,5.32,15.619,False,47.37,8.298,6.62,0.431,15.89,-1.72,50.76,-3.71,0,0.0,VOO,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,3.0,1.0,True,6.0,2023-01-01,2025-12-31,19,188.14,83.09,2881.43,5.32,15.619,False,47.37,8.298,6.62,0.431,15.89,-1.72,50.76,-3.71,0,0.0,VOO,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,3.0,1.0,True,9.0,2023-01-01,2025-12-31,19,188.14,83.09,2881.43,5.32,15.619,False,47.37,8.298,6.62,0.431,15.89,-1.72,50.76,-3.71,0,0.0,VOO,recovery_2023_2025,quick
130,SMA,60,SMA,True,True,3.0,1.0,True,12.0,2023-01-01,2025-12-31,19,188.14,83.09,2881.43,5.32,15.619,False,47.37,8.298,6.62,0.431,15.89,-1.72,50.76,-3.71,0,0.0,VOO,recovery_2023_2025,quick
